;ANNOSCOLASTICO;AREAGEOGRAFICA;CAPSCUOLA;CODICECOMUNESCUOLA;CODICEISTITUTORIFERIMENTO;DENOMINAZIONEISTITUTORIFERIMENTO;DENOMINAZIONESCUOLA;DESCRIZIONECARATTERISTICASCUOLA;DESCRIZIONECOMUNE;DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA;INDICAZIONESEDEDIRETTIVO;INDICAZIONESEDEOMNICOMPRENSIVO;INDIRIZZOEMAILSCUOLA;INDIRIZZOPECSCUOLA;INDIRIZZOSCUOLA;PROVINCIA;REGIONE;SEDESCOLASTICA;SITOWEBSCUOLA;bStatale;Long;Lat;ORDINESCUOLA;ALUNNI
MIPS02301P;201617;NORD OVEST;20151,0;F205;MIIS023008;IST.ISTR.SUP.G.CARDANO;G.CARDANO;NORMALE;MILANO;LICEO SCIENTIFICO;NO;Non Disponibile;MIIS023008@istruzione.it;Non Disponibile;VIA NATTA11;MILANO;LOMBARDIA;SI;www.iiscardano.gov.it;True;9,1243893;45,488845;SCUOLA SECONDARIA II GRADO;859
MIPC03000N;201617;NORD OVEST;20127,0;F205;MIPC03000N;CARDUCCI;CARDUCCI;NORMALE;MILANO;LICEO CLASSICO;SI;Non Disponibile;MIPC03000N@istruzione.it;mipc03000n@pec.istruzione.it;VIA BEROLDO9;MILANO;LOMBARDIA;SI;www.liceoclassicocarducci.gov.it;True;9,2147492;45,4879842;SCUOLA SECONDARIA II GRADO;930
MIEE8BB02B;201617;NORD OVEST;20123,0;F205;MIIC8BB008;IC A. DIAZ/MILANO;E.DE MARCHI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8BB008@istruzione.it;Non Disponibile;VIA SANT'ORSOLA 15;MILANO;LOMBARDIA;SI;www.icsdiaz.it;True;9,1805831;45,4626277;SCUOLA PRIMARIA;326
MIMM8CR017;201617;NORD OVEST;20161,0;F205;MIIC8CR006;IC SORELLE AGAZZI/ MILANO;GANDHI - RODARI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8CR006@istruzione.it;Non Disponibile;P.ZZA GASPARRI 6 - VIA GABBRO 6/A;MILANO;LOMBARDIA;SI;WWW.ICSORELLEAGAZZI.GOV.IT;True;9,1612847;45,5147258;SCUOLA SECONDARIA I GRADO;264
MIPS05101V;201617;NORD OVEST;20142,0;F205;MIIS05100C;CLAUDIO VARALLI;"""CLAUDIO VARALLI""";NORMALE;MILANO;LICEO SCIENTIFICO;NO;Non Disponibile;MIIS05100C@istruzione.it;Non Disponibile;VIA ULISSE DINI 7;MILANO;LOMBARDIA;SI;www.ittvaralli.it;True;9,1798727;45,4292374;SCUOLA SECONDARIA II GRADO;487
MIEE823027;201617;NORD OVEST;20139,0;F205;MIIC823004;I.C. MARCELLO CANDIA;I.C. MARCELLO CANDIA;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC823004@istruzione.it;Non Disponibile;VIA VALLARSA 19;MILANO;LOMBARDIA;SI;http//www.icmarcellocandia.it/;True;9,210021800000002;45,44263670000001;SCUOLA PRIMARIA;323
MIEE81401B;201617;NORD OVEST;20123,0;F205;MIIC814009;IC CAVALIERI/MILANO;ARIBERTO AGGR. SMS CAVALIERI-MI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC814009@istruzione.it;Non Disponibile;VIA ARIBERTO INTIMIANO 14;MILANO;LOMBARDIA;SI;www.iccavalieri.gov.it;True;9,1733132;45,45892620000001;SCUOLA PRIMARIA;471
MITD02301E;201617;NORD OVEST;20151,0;F205;MIIS023008;IST.ISTR.SUP.G.CARDANO;I.T. COMM. E GEOM. DI VIA NATTA;NORMALE;MILANO;IST TEC COMMERCIALE E PER GEOMETRI;NO;Non Disponibile;MIIS023008@istruzione.it;Non Disponibile;VIA NATTA11;MILANO;LOMBARDIA;SI;www.iiscardano.gov.it;True;9,1243893;45,488845;SCUOLA SECONDARIA II GRADO;527
MIMM81401A;201617;NORD OVEST;20123,0;F205;MIIC814009;IC CAVALIERI/MILANO;CAVALIERI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC814009@istruzione.it;Non Disponibile;VIA ANCO MARZIO 9;MILANO;LOMBARDIA;SI;www.iccavalieri.gov.it;True;9,170311500000002;45,4597805;SCUOLA SECONDARIA I GRADO;489
MIEE8BB01A;201617;NORD OVEST;20122,0;F205;MIIC8BB008;IC A. DIAZ/MILANO;A.DIAZ - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8BB008@istruzione.it;Non Disponibile;VIA CROCEFISSO 15;MILANO;LOMBARDIA;SI;www.icsdiaz.GOV.IT;True;9,1858051;45,45703169999999;SCUOLA PRIMARIA;471
MIEE8FW036;201617;NORD OVEST;20142,0;F205;MIIC8FW002;I.C. VIA ARCADIA - MILANO;VIA FERABOLI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8FW002@istruzione.it;Non Disponibile;VIA FERABOLI 44;MILANO;LOMBARDIA;SI;www.arcadia.gov.it;True;9,1702719;45,4146888;SCUOLA PRIMARIA;288
MITN05101L;201617;NORD OVEST;20142,0;F205;MIIS05100C;CLAUDIO VARALLI;"""CLAUDIO VARALLI"" - MILANO";NORMALE;MILANO;ISTITUTO TECNICO PER IL TURISMO;NO;Non Disponibile;MIIS05100C@istruzione.it;Non Disponibile;VIA ULISSE DINI 7;MILANO;LOMBARDIA;SI;www.ittvaralli.it;True;9,1798727;45,4292374;SCUOLA SECONDARIA II GRADO;633
MIEE8CR04B;201617;NORD OVEST;20161,0;F205;MIIC8CR006;IC SORELLE AGAZZI/ MILANO;VIA GABBRO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CR006@istruzione.it;Non Disponibile;VIA GABBRO 6;MILANO;LOMBARDIA;SI;WWW.ICSSORELLEAGAZZI.GOV.IT;True;9,1605159;45,5153296;SCUOLA PRIMARIA;214
MIMM8AG01T;201617;NORD OVEST;20157,0;F205;MIIC8AG00R;IC VIA VAL LAGARINA /MILANO;VICO;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8AG00R@istruzione.it;Non Disponibile;VIA ORSINI FELICE 25;MILANO;LOMBARDIA;SI;www.icsviavallagarina.cov.it;True;9,1328774;45,5180797;SCUOLA SECONDARIA I GRADO;384
MIMM824011;201617;NORD OVEST;20154,0;F205;MIIC82400X;IC G.GIUSTI E C.D'ASSISI/MILANO;PANZINI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC82400X@istruzione.it;Non Disponibile;VIA GIUSTI 15/A;MILANO;LOMBARDIA;SI;WWW.ICGIUSTI.IT;True;9,1768972;45,480106;SCUOLA SECONDARIA I GRADO;357
MIEE8AG02X;201617;NORD OVEST;20157,0;F205;MIIC8AG00R;IC VIA VAL LAGARINA /MILANO;GHERARDINI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8AG00R@istruzione.it;Non Disponibile;VIA CITTADINI 9;MILANO;LOMBARDIA;SI;www.icsviavallagarina.gov.it;True;9,1293898;45,5141234;SCUOLA PRIMARIA;231
MIEE8C301R;201617;NORD OVEST;20151,0;F205;MIIC8C300P;IC RICCARDO MASSA/MILANO;VIA BROCCHI - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8C300P@istruzione.it;Non Disponibile;VIA BROCCHI VIRGILIO5;MILANO;LOMBARDIA;SI;www.icriccardomassa.gov.it;True;9,11969;45,49306;SCUOLA PRIMARIA;455
MITD026012;201617;NORD OVEST;20159,0;F205;MIIS02600Q;CREMONA;"ITE ""G.ZAPPA""-SEZ. ASS. I.I.S. CREMONA";NORMALE;MILANO;ISTITUTO TECNICO COMMERCIALE;NO;Non Disponibile;MIIS02600Q@istruzione.it;Non Disponibile;VIALE MARCHE 71;MILANO;LOMBARDIA;SI;www.iiscremona.gov.it;True;9,191352400000001;45,4961146;SCUOLA SECONDARIA II GRADO;475
MIEE824023;201617;NORD OVEST;20121,0;F205;MIIC82400X;IC G.GIUSTI E C.D'ASSISI/MILANO;CICERI VISCONTI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC82400X@istruzione.it;Non Disponibile;VIA PALERMO 79;MILANO;LOMBARDIA;SI;www.icgiusti.it;True;9,1837949;45,4754029;SCUOLA PRIMARIA;369
MITF03801E;201617;NORD OVEST;20161,0;F205;MIIS038002;GIUSEPPE LUIGI LAGRANGE;GIUSEPPE LUIGI LAGRANGE;NORMALE;MILANO;ISTITUTO TECNICO INDUSTRIALE;NO;Non Disponibile;MIIS038002@istruzione.it;Non Disponibile;VIA LITTA MODIGNANI65;MILANO;LOMBARDIA;SI;www.iislagrange.gov.it;True;9,1572279;45,521176700000005;SCUOLA SECONDARIA II GRADO;569
MIEE823016;201617;NORD OVEST;20139,0;F205;MIIC823004;I.C. MARCELLO CANDIA;I.C. MARCELLO CANDIA;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC823004@istruzione.it;Non Disponibile;VIA POLESINE 12/14;MILANO;LOMBARDIA;SI;www.iclorenzinifeltre.it;True;9,22275;45,43934;SCUOLA PRIMARIA;338
MIPM11000D;201617;NORD OVEST;20121,0;F205;MIPM11000D;CARLO TENCA;CARLO TENCA;NORMALE;MILANO;ISTITUTO MAGISTRALE;SI;Non Disponibile;MIPM11000D@istruzione.it;mipm11000d@pec.istruzione.it;BASTIONI PORTA VOLTA 16;MILANO;LOMBARDIA;SI;www.istitutotenca.gov.it;True;9,1811515;45,4792414;SCUOLA SECONDARIA II GRADO;1385
MITF290008;201617;NORD OVEST;20148,0;F205;MITF290008;ETTORE CONTI;ETTORE CONTI;NORMALE;MILANO;ISTITUTO TECNICO INDUSTRIALE;SI;Non Disponibile;MITF290008@istruzione.it;mitf290008@pec.istruzione.it;VIA A. DE VINCENTI 11;MILANO;LOMBARDIA;SI;www.ettoreconti.gov.it;True;9,141136900000001;45,47718709999999;SCUOLA SECONDARIA II GRADO;1137
MIEE8C402N;201617;NORD OVEST;20148,0;F205;MIIC8C400E;IC L.CADORNA/MILANO;L.CADORNA - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8C400E@istruzione.it;Non Disponibile;VIA DOLCI 5;MILANO;LOMBARDIA;SI;www.istitutocadorna.it;True;9,143046;45,4719907;SCUOLA PRIMARIA;449
MIPS01000G;201617;NORD OVEST;20137,0;F205;MIPS01000G;L.S. EINSTEIN;L.S. EINSTEIN;NORMALE;MILANO;LICEO SCIENTIFICO;SI;Non Disponibile;MIPS01000G@istruzione.it;mips01000g@pec.istruzione.it;VIA EINSTEIN 3;MILANO;LOMBARDIA;SI;http//www.liceoeinsteinmilano.gov.it;True;9,216389900000001;45,45036029999999;SCUOLA SECONDARIA II GRADO;1071
MIEE8CD02N;201617;NORD OVEST;20136,0;F205;MIIC8CD00E;IC P.THOUAR E L.GONZAGA/MILANO;PIOLTI DE BIANCHI GASPARA;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CD00E@istruzione.it;Non Disponibile;VIA GENTILINO 14;MILANO;LOMBARDIA;SI;www.thouar-gonzaga.it;True;9,1824465;45,449065600000004;SCUOLA PRIMARIA;230
MIEE8C401L;201617;NORD OVEST;20148,0;F205;MIIC8C400E;IC L.CADORNA/MILANO;M.L.KING;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8C400E@istruzione.it;Non Disponibile;P.ZZA SANTA MARIA NASCENTE30;MILANO;LOMBARDIA;SI;www.istitutocadorna.it;True;9,1352611;45,4866129;SCUOLA PRIMARIA;268
MIMM8DV012;201617;NORD OVEST;20125,0;F205;MIIC8DV001;IC FRANCESCHI/MILANO;FRANCESCHI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8DV001@istruzione.it;Non Disponibile;VIA CAGLIERO 20;MILANO;LOMBARDIA;SI;www.icrobertofranceschi.it;True;9,2015454;45,4967566;SCUOLA SECONDARIA I GRADO;501
MIEE8CD01L;201617;NORD OVEST;20136,0;F205;MIIC8CD00E;IC P.THOUAR E L.GONZAGA/MILANO;P.THOUAR E L.GONZAGA - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CD00E@istruzione.it;Non Disponibile;VIA BRUNACCI 2/4;MILANO;LOMBARDIA;SI;www.thouar-gonzaga.it;True;9,177326400000002;45,44470820000001;SCUOLA PRIMARIA;330
MITF19000B;201617;NORD OVEST;20139,0;F205;MITF19000B;"I.T.S.O.S. ""ALBE STEINER""";"I.T.S.O.S. ""ALBE STEINER""";NORMALE;MILANO;ISTITUTO TECNICO INDUSTRIALE;SI;Non Disponibile;MITF19000B@istruzione.it;mitf19000b@pec.istruzione.it;VIA S. DIONIGI 36;MILANO;LOMBARDIA;SI;www.itsosmilano.gov.it;True;9,2172272;45,43298970000001;SCUOLA SECONDARIA II GRADO;1022
MIRC08000A;201617;NORD OVEST;20123,0;F205;MIRC08000A;CAVALIERI;CAVALIERI;NORMALE;MILANO;IST PROF PER I SERVIZI COMMERCIALI;SI;Non Disponibile;MIRC08000A@istruzione.it;mirc08000a@pec.istruzione.it;VIA OLONA14;MILANO;LOMBARDIA;SI;www.istitutocavalieri-superiori.it;True;9,1712135;45,460021000000005;SCUOLA SECONDARIA II GRADO;1306
MIMM8C401G;201617;NORD OVEST;20148,0;F205;MIIC8C400E;IC L.CADORNA/MILANO;RICCI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8C400E@istruzione.it;Non Disponibile;VIA LOVERE 4;MILANO;LOMBARDIA;SI;www.istitutocadorna.it;True;9,1384329;45,4844203;SCUOLA SECONDARIA I GRADO;325
MIEE8CD03P;201617;NORD OVEST;20144,0;F205;MIIC8CD00E;IC P.THOUAR E L.GONZAGA/MILANO;F.CONFORTI E B.AVOGADRO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CD00E@istruzione.it;Non Disponibile;VIA VIGEVANO 19;MILANO;LOMBARDIA;SI;www.thouar-gonzaga.it;True;9,1735992;45,4525817;SCUOLA PRIMARIA;337
MIRH038016;201617;NORD OVEST;20161,0;F205;MIIS038002;GIUSEPPE LUIGI LAGRANGE;"""G. BRERA """;NORMALE;MILANO;IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE;NO;Non Disponibile;MIIS038002@istruzione.it;Non Disponibile;VIA LITTA MODIGNANI 65;MILANO;LOMBARDIA;SI;IISLAGRANGE.GOV.IT;True;9,1572279;45,521176700000005;SCUOLA SECONDARIA II GRADO;983
MIRC058016;201617;NORD OVEST;20157,0;F205;MIIS058007;PAOLO FRISI;FRISI;NORMALE;MILANO;IST PROF PER I SERVIZI COMMERCIALI E TURISTICI;NO;Non Disponibile;MIIS058007@istruzione.it;Non Disponibile;VIA OTRANTO-CITTADINI1;MILANO;LOMBARDIA;SI;www.ipsfrisi.it;True;9,1307384;45,514499799999996;SCUOLA SECONDARIA II GRADO;726
MIEE8DU017;201617;NORD OVEST;20139,0;F205;MIIC8DU005;IC R.PEZZANI/MILANO;R.PEZZANI - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DU005@istruzione.it;Non Disponibile;VIA MARTINENGO36;MILANO;LOMBARDIA;SI;www.icpezzani.it;True;9,227936300000001;45,4429704;SCUOLA PRIMARIA;418
MITD09901Q;201617;NORD OVEST;20124,0;F205;MIIS09900D;SCHIAPARELLI-GRAMSCI;SCHIAPARELLI-GRAMSCI;NORMALE;MILANO;ISTITUTO TECNICO COMMERCIALE;NO;Non Disponibile;MIIS09900D@istruzione.it;Non Disponibile;VIA SETTEMBRINI 4;MILANO;LOMBARDIA;SI;www.schiaprelligramsci.it;True;9,2048456;45,4805104;SCUOLA SECONDARIA II GRADO;604
