CODSCUOLA;ANNOSCOLASTICO;AREAGEOGRAFICA;CAPSCUOLA;CODICECOMUNESCUOLA;CODICEISTITUTORIFERIMENTO;DENOMINAZIONEISTITUTORIFERIMENTO;DENOMINAZIONESCUOLA;DESCRIZIONECARATTERISTICASCUOLA;DESCRIZIONECOMUNE;DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA;INDICAZIONESEDEDIRETTIVO;INDICAZIONESEDEOMNICOMPRENSIVO;INDIRIZZOEMAILSCUOLA;INDIRIZZOPECSCUOLA;INDIRIZZOSCUOLA;PROVINCIA;REGIONE;SEDESCOLASTICA;SITOWEBSCUOLA;bStatale;Long;Lat;ORDINESCUOLA;ALUNNI
BAEE88602P;201617;SUD;70045,0;A662;BAIC88600G;I.C. JAPIGIA 2 - TORRE A MARE;"""G. MAMELI""";NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC88600G@istruzione.it;Non Disponibile;V.MARTIRI DELLA RESISTENZA ANG.SS.16;BARI;PUGLIA;SI;www.icjapigiaII-torreamare.gov.it;True;16,994100500000002;41,0862921;SCUOLA PRIMARIA;243
BAEE026079;201617;SUD;70126,0;A662;BAEE026002;CD MONTE SAN MICHELE;MUNGIVACCA - 26 C.D.BARI;NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAEE026002@istruzione.it;Non Disponibile;P.LE PUGLIESE 1;BARI;PUGLIA;SI;www.26circolodidatticobari.it;True;16,8907901;41,0932081;SCUOLA PRIMARIA;77
BAMM84201V;201617;SUD;70127,0;A662;BAIC84200T;I.C. ARISTIDE GABELLI;SMS ALDO MORO;NORMALE;BARI;SCUOLA PRIMO GRADO;NO;Non Disponibile;BAIC84200T@istruzione.it;Non Disponibile;VIA DALMAZIA 1/A - SANTO SPIRITO;BARI;PUGLIA;SI;www.comprensivogabellibari.gov.it;True;16,7445286;41,165921600000004;SCUOLA SECONDARIA I GRADO;300
BAEE80701L;201617;SUD;70100,0;A662;BAIC80700E;"""S.G. BOSCO - MELO DA BARI""";"""MARCONI"" - 22 C.D. BARI";NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC80700E@istruzione.it;Non Disponibile;VIA SKANDENBERG 33;BARI;PUGLIA;SI;WWW. COMPRENSIVOBOSCOMELODABARI.IT;True;16,8718715;41,1171432;SCUOLA PRIMARIA;53
BAEE846039;201617;SUD;70129,0;A662;BAIC846005;16 CD CEGLIE-SM MANZONI-LUCAREL;COMPRENSORIO S.RITA -16 CD.BARI;NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC846005@istruzione.it;Non Disponibile;VIA DEL MONASTERO N.13;BARI;PUGLIA;SI;in allestimento;True;16,859362100000002;41,06916629999999;SCUOLA PRIMARIA;49
BAMM003008;201617;SUD;70122,0;A662;BAMM003008;CARDUCCI;CARDUCCI;NORMALE;BARI;SCUOLA PRIMO GRADO;SI;Non Disponibile;BAMM003008@istruzione.it;bamm003008@pec.istruzione.it;VIA S.FRANCESCO D'ASSISI 63;BARI;PUGLIA;SI;www.carduccibari.it;True;16,8637026;41,1268742;SCUOLA SECONDARIA I GRADO;642
BAMM884011;201617;SUD;70126,0;A662;BAIC88400X;"""JAPIGIA I - VERGA CENTRALE"" BA";SMS GIOVANNI VERGA;NORMALE;BARI;SCUOLA PRIMO GRADO;NO;Non Disponibile;BAIC88400X@istruzione.it;Non Disponibile;VIA PANTALEO CARABELLESE N.34;BARI;PUGLIA;SI;www.icjapiagia1verga.gov.it;True;16,9064708;41,1062065;SCUOLA SECONDARIA I GRADO;318
BAMM846016;201617;SUD;70129,0;A662;BAIC846005;16 CD CEGLIE-SM MANZONI-LUCAREL;"""MANZONI"" - ""LUCARELLI""";NORMALE;BARI;SCUOLA PRIMO GRADO;NO;Non Disponibile;BAIC846005@istruzione.it;Non Disponibile;VIA QUARANTA 10;BARI;PUGLIA;SI;IN ALLESTIMENTO;True;16,872051100000004;41,0655936;SCUOLA SECONDARIA I GRADO;144
BAEE80602T;201617;SUD;70132,0;A662;BAIC80600P;"""FALCONE-BORSELLINO""";"""G. FALCONE"" - 18 CD.BARI";NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC80600P@istruzione.it;Non Disponibile;VIA CASSALA 15;BARI;PUGLIA;SI;http//digilander.libero.it/falconeborsellinoba/;True;16,8385566;41,11772620000001;SCUOLA PRIMARIA;146
BAEE84502C;201617;SUD;70129,0;A662;BAIC845009;"I.C.""G.PAOLO II - DE MARINIS""";"""CARMELA CINIGLIO""- 8 C.D. BARI";NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC845009@istruzione.it;Non Disponibile;VIA VALENZANO 1;BARI;PUGLIA;SI;WWW.ISTITUTOCOMPRENSIVOCARBONARA.IT;True;16,847676999999997;41,041247;SCUOLA PRIMARIA;75
BAEE80604X;201617;SUD;70132,0;A662;BAIC80600P;"""FALCONE-BORSELLINO""";CIRIELLI - 13 C.D.BARI;NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC80600P@istruzione.it;Non Disponibile;VIA MOLISE 4;BARI;PUGLIA;SI;http//digilander.libero.it/falconeborsellinoba/;True;16,79615;41,1216;SCUOLA PRIMARIA;101
BAMM84501A;201617;SUD;70131,0;A662;BAIC845009;"I.C.""G.PAOLO II - DE MARINIS""";SMS G. DE MARINIS;NORMALE;BARI;SCUOLA PRIMO GRADO;NO;Non Disponibile;BAIC845009@istruzione.it;Non Disponibile;VIA NICOLA COLONNA N. 1 - 70131 BARI;BARI;PUGLIA;SI;ISTITUTOCOMPRENSIVOCARBONARA.IT;True;16,871849800000003;41,077533100000004;SCUOLA SECONDARIA I GRADO;337
BAMM84401E;201617;SUD;70125,0;A662;BAIC84400D;EL/7 - SM SANTOMAURO;GAETANO SANTOMAURO;NORMALE;BARI;SCUOLA PRIMO GRADO;NO;Non Disponibile;BAIC84400D@istruzione.it;Non Disponibile;VIA VASSALLO 16;BARI;PUGLIA;SI;www.el7montellosantomauro.gov.it/;True;16,878811300000002;41,091466100000005;SCUOLA SECONDARIA I GRADO;330
BAEE80601R;201617;SUD;70132,0;A662;BAIC80600P;"""FALCONE-BORSELLINO""";PETRIGNANI - 18 CD BARI;NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC80600P@istruzione.it;Non Disponibile;P.ZZA ROMITA 6;BARI;PUGLIA;SI;http//digilander.libero.it/falconeborsellinoba/;True;16,7978867;41,1203445;SCUOLA PRIMARIA;201
BAEE84401G;201617;SUD;70100,0;A662;BAIC84400D;EL/7 - SM SANTOMAURO;"23 C.D. ""EL/7""";NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC84400D@istruzione.it;Non Disponibile;VIA GIUSEPPE BARTOLO 8;BARI;PUGLIA;SI;www.el7montellosantomauro.gov.it/;True;16,8575092;41,095232;SCUOLA PRIMARIA;468
BAEE806051;201617;SUD;70123,0;A662;BAIC80600P;"""FALCONE-BORSELLINO""";CHIAIA - 13 C.D.BARI;NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC80600P@istruzione.it;Non Disponibile;VIA BRINDISI;BARI;PUGLIA;SI;http//digilander.libero.it/falconeborsellinoba/;True;16,7992775;41,1214898;SCUOLA PRIMARIA;131
BAEE846017;201617;SUD;70129,0;A662;BAIC846005;16 CD CEGLIE-SM MANZONI-LUCAREL;VIA DI VENERE - 16 C.D.BARI;NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC846005@istruzione.it;Non Disponibile;VIA DI VENERE 21/23;BARI;PUGLIA;SI;in allestimento;True;16,8676329;41,0660029;SCUOLA PRIMARIA;180
BAMM244008;201617;SUD;70126,0;A662;BAMM244008;"""AMEDEO D'AOSTA""";"""AMEDEO D'AOSTA""";NORMALE;BARI;SCUOLA PRIMO GRADO;SI;Non Disponibile;BAMM244008@istruzione.it;bamm244008@pec.istruzione.it;VIA OBERDAN 8;BARI;PUGLIA;SI;www.scuoladaostabari.it;True;16,8867692;41,117181;SCUOLA SECONDARIA I GRADO;646
BAEE846028;201617;SUD;70131,0;A662;BAIC846005;16 CD CEGLIE-SM MANZONI-LUCAREL;CARBONARA DIAZ - 16 CD.BARI;NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC846005@istruzione.it;Non Disponibile;VIA V.VENETO 92/A;BARI;PUGLIA;SI;in allestimento;True;16,8717762;41,07128170000001;SCUOLA PRIMARIA;115
BAEE027064;201617;SUD;70128,0;A662;BAEE02700T;27 CIRCOLO DIDATTICO - BARI;"""MARCO POLO"" - 27 C.D. PALESE";NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAEE02700T@istruzione.it;Non Disponibile;VIALE DEL TURCO ZONA 167;BARI;PUGLIA;SI;www.circolo27bari.gov.it;True;16,7558622;41,1518042;SCUOLA PRIMARIA;270
BAEE812025;201617;SUD;70100,0;A662;BAIC812002;"""DON LORENZO MILANI""";DON L. MILANI - 25 C.D.BARI;NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC812002@istruzione.it;Non Disponibile;VIA DELLE REGIONI 62;BARI;PUGLIA;SI;www.donmilanibari.it;True;16,7875527;41,121412799999995;SCUOLA PRIMARIA;151
BAEE84501B;201617;SUD;70012,0;A662;BAIC845009;"I.C.""G.PAOLO II - DE MARINIS""";"""DON MARIO DALESIO""";NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC845009@istruzione.it;Non Disponibile;VIA FRANCESCO PEPE N. 2;BARI;PUGLIA;SI;WWW.ISTITUTOCOMPRENSIVOCARBONARA.IT;True;16,866221600000003;41,0769126;SCUOLA PRIMARIA;440
BAMM81401P;201617;SUD;70121,0;A662;BAIC81400N;BALILLA - M.R. IMBRIANI;MATTEO RENATO IMBRIANI;NORMALE;BARI;SCUOLA PRIMO GRADO;NO;Non Disponibile;BAIC81400N@istruzione.it;Non Disponibile;VIA MATTEO RENATO IMBRIANI 86;BARI;PUGLIA;SI;www.scuolaimbriani.it;True;16,8766807;41,1225304;SCUOLA SECONDARIA I GRADO;165
BAMM81501E;201617;SUD;70123,0;A662;BAIC81500D;GIUSEPPE GARIBALDI;PASCOLI;NORMALE;BARI;SCUOLA PRIMO GRADO;NO;Non Disponibile;BAIC81500D@istruzione.it;Non Disponibile;VIA PIZZOLI 58;BARI;PUGLIA;SI;www.icgaribaldibari.gov.it;True;16,859501100000003;41,1278992;SCUOLA SECONDARIA I GRADO;286
BAEE81401Q;201617;SUD;70100,0;A662;BAIC81400N;BALILLA - M.R. IMBRIANI;BALILLA - 4 C.D. BARI;NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC81400N@istruzione.it;Non Disponibile;LARGO CARABELLESE 1;BARI;PUGLIA;SI;www.scuolaimbriani.it;True;16,907819600000003;41,10858820000001;SCUOLA PRIMARIA;465
BAEE81503N;201617;SUD;70123,0;A662;BAIC81500D;GIUSEPPE GARIBALDI;"""G. GARIBALDI""";NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC81500D@istruzione.it;Non Disponibile;P.ZZA RISORGIMENTO;BARI;PUGLIA;SI;www.icgaribaldibari.gov.it;True;16,8718715;41,1171432;SCUOLA PRIMARIA;291
BAEE81301X;201617;SUD;70100,0;A662;BAIC81300T;"""NICOLA ZINGARELLI""";"""ANNA FRANK"" -";NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC81300T@istruzione.it;Non Disponibile;VIA NICEFORO 19;BARI;PUGLIA;SI;www.comprensivozingarellibari.it;True;16,861883;41,102295399999996;SCUOLA PRIMARIA;400
BAEE81501G;201617;SUD;70123,0;A662;BAIC81500D;GIUSEPPE GARIBALDI;R.MORO - 15 C.D.BARI;NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC81500D@istruzione.it;Non Disponibile;VIA RAVANAS 1;BARI;PUGLIA;SI;www.icgaribaldibari.gov.it;True;16,8579945;41,127283;SCUOLA PRIMARIA;85
BAMM81301V;201617;SUD;70124,0;A662;BAIC81300T;"""NICOLA ZINGARELLI""";"""NICOLA ZINGARELLI""";NORMALE;BARI;SCUOLA PRIMO GRADO;NO;Non Disponibile;BAIC81300T@istruzione.it;Non Disponibile;VIA SERGIO PANSINI N.3;BARI;PUGLIA;SI;www.comprensivozingarellibari.it;True;16,8594562;41,1053865;SCUOLA SECONDARIA I GRADO;715
BAEE027053;201617;SUD;70128,0;A662;BAEE02700T;27 CIRCOLO DIDATTICO - BARI;"""DUCA D'AOSTA"" 27 C.D. - PALESE";NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAEE02700T@istruzione.it;Non Disponibile;VIA DUCA D'AOSTA 2;BARI;PUGLIA;SI;www.circolo27bari.gov.it;True;16,7666237;41,1504717;SCUOLA PRIMARIA;342
