CODICESCUOLA;ANNOSCOLASTICO;AREAGEOGRAFICA;CAPSCUOLA;CODICECOMUNESCUOLA;CODICEISTITUTORIFERIMENTO;DENOMINAZIONEISTITUTORIFERIMENTO;DENOMINAZIONESCUOLA;DESCRIZIONECARATTERISTICASCUOLA;DESCRIZIONECOMUNE;DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA;INDICAZIONESEDEDIRETTIVO;INDICAZIONESEDEOMNICOMPRENSIVO;INDIRIZZOEMAILSCUOLA;INDIRIZZOPECSCUOLA;INDIRIZZOSCUOLA;PROVINCIA;REGIONE;SEDESCOLASTICA;SITOWEBSCUOLA;bStatale;Long;Lat
MIEE82001P;201617;NORD OVEST;20152;F205;MIIC82000L;IC BRUNO MUNARI/ MILANO;FRATELLI CERVI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC82000L@istruzione.it;Non Disponibile;VIA DEI SALICI 2;MILANO;LOMBARDIA;SI;www.icbrunomunari.gov.it;True;9,080169699999999;45,4520442
MIPS15000V;201617;NORD OVEST;20155;F205;MIPS15000V;"""P. BOTTONI""";"""P. BOTTONI""";NORMALE;MILANO;LICEO SCIENTIFICO;SI;Non Disponibile;MIPS15000V@istruzione.it;mips15000v@pec.istruzione.it;VIA MAC MAHON 96/98;MILANO;LOMBARDIA;SI;www.liceobottoni.gov.it;True;9,1572973;45,4947461
MIAA8C701V;201617;NORD OVEST;20153;F205;MIIC8C7002;I.C. LUCIANO MANARA;VIA AIRAGHI;NORMALE;MILANO;SCUOLA INFANZIA;NO;Non Disponibile;MIIC8C7002@istruzione.it;Non Disponibile;VIA AIRAGHI 40;MILANO;LOMBARDIA;SI;www.istitutolucianomanara.gov.it;True;9,0856716;45,475704
MIAA30601V;201617;NORD OVEST;20132;F205;MIEE306003;CD G.B.PERASSO / MILANO;INFANZIA - VIA BOTTEGO;NORMALE;MILANO;SCUOLA INFANZIA;NO;Non Disponibile;MIEE306003@istruzione.it;Non Disponibile;VIA BOTTEGO 4;MILANO;LOMBARDIA;SI;www.ddperasso.gov.it;True;9,2438854;45,5036677
MIEE8D102R;201617;NORD OVEST;20155;F205;MIIC8D100N;IC RINNOVATA PIZZIGONI/MILANO;DANTE ALIGHIERI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8D100N@istruzione.it;Non Disponibile;VIA MAC MAHON 100;MILANO;LOMBARDIA;SI;www.scuolarinnovata.it;True;9,1561459;45,4956182
MIPS16000D;201617;NORD OVEST;20147;F205;MIPS16000D;"""G.MARCONI""";"""G.MARCONI""";NORMALE;MILANO;LICEO SCIENTIFICO;SI;Non Disponibile;MIPS16000D@istruzione.it;mips16000d@pec.istruzione.it;VIA DEI NARCISI5;MILANO;LOMBARDIA;SI;www.marconionline.it;True;9,1276566;45,4507572
MIAA8C401B;201617;NORD OVEST;20148;F205;MIIC8C400E;IC L.CADORNA/MILANO;LUIGI CADORNA;NORMALE;MILANO;SCUOLA INFANZIA;NO;Non Disponibile;MIIC8C400E@istruzione.it;Non Disponibile;VIA CARLO DOLCI 5;MILANO;LOMBARDIA;SI;www.istitutocadorna.it;True;9,143046;45,4719907
MIPC040008;201617;NORD OVEST;20145;F205;MIPC040008;BECCARIA;BECCARIA;NORMALE;MILANO;LICEO CLASSICO;SI;Non Disponibile;MIPC040008@istruzione.it;mipc040008@pec.istruzione.it;VIA CARLO LINNEO5;MILANO;LOMBARDIA;SI;www.liceobeccaria.gov.it;True;9,164207;45,4783915
MIAA8DF01N;201617;NORD OVEST;20162;F205;MIIC8DF00R;IC SANDRO PERTINI/MILANO;OSPEDALE MAGGIORE NIGUARDA;C/O IST. OSPEDALIERO;MILANO;SCUOLA INFANZIA;NO;Non Disponibile;MIIC8DF00R@istruzione.it;Non Disponibile;PIAZZA OSPEDALE MAGGIORE 3;MILANO;LOMBARDIA;SI;Non Disponibile;True;9,1891379;45,508015
MIEE8CR05C;201617;NORD OVEST;20161;F205;MIIC8CR006;IC SORELLE AGAZZI/ MILANO;P.ZZA GASPARRI - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CR006@istruzione.it;Non Disponibile;P.ZZA GASPARRI 6;MILANO;LOMBARDIA;SI;www.icsorelleagazzi.gov.it;True;9,1621363;45,5257296
MIPS05801N;201617;NORD OVEST;20157;F205;MIIS058007;PAOLO FRISI;FRISI;NORMALE;MILANO;LICEO SCIENTIFICO;NO;Non Disponibile;MIIS058007@istruzione.it;Non Disponibile;VIA OTRANTO CITTADINI 1;MILANO;LOMBARDIA;SI;iisfrisi.gov.it;True;9,1307384;45,5144998
MIEE8D101Q;201617;NORD OVEST;20155;F205;MIIC8D100N;IC RINNOVATA PIZZIGONI/MILANO;RINNOVATA PIZZIGONI-MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8D100N@istruzione.it;Non Disponibile;VIA C.DA CASTELLO 10;MILANO;LOMBARDIA;SI;www.scuolarinnovata.it;True;9,158636099999999;45,496284
MIAA8C7031;201617;NORD OVEST;20153;F205;MIIC8C7002;I.C. LUCIANO MANARA;VIA C.MARX;NORMALE;MILANO;SCUOLA INFANZIA;NO;Non Disponibile;MIIC8C7002@istruzione.it;Non Disponibile;VIA C.MARX 2;MILANO;LOMBARDIA;SI;www.isitutolucianomanara.gov.it;True;9,111939999999999;45,47029999999999
MIAA82001D;201617;NORD OVEST;20152;F205;MIIC82000L;IC BRUNO MUNARI/ MILANO;VIA DEI SALICI;NORMALE;MILANO;SCUOLA INFANZIA;NO;Non Disponibile;MIIC82000L@istruzione.it;Non Disponibile;VIA DEI SALICI 4;MILANO;LOMBARDIA;SI;www.icbrunomunari.gov.it;True;9,0792784;45,4531729
MIPC05000V;201617;NORD OVEST;20122;F205;MIPC05000V;BERCHET;BERCHET;NORMALE;MILANO;LICEO CLASSICO;SI;Non Disponibile;MIPC05000V@istruzione.it;mipc05000v@pec.istruzione.it;VIA DELLA COMMENDA26;MILANO;LOMBARDIA;SI;http//www.liceoberchet.gov.it;True;9,1993271;45,4556475
MIEE8FW025;201617;NORD OVEST;20142;F205;MIIC8FW002;I.C. VIA ARCADIA - MILANO;VIA BARONI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8FW002@istruzione.it;Non Disponibile;VIA BARONI 73;MILANO;LOMBARDIA;SI;www.arcadia.gov.it;True;9,170454099999999;45,4113674
MIEE82002Q;201617;NORD OVEST;20152;F205;MIIC82000L;IC BRUNO MUNARI/ MILANO;N.TOMMASEO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC82000L@istruzione.it;Non Disponibile;VIA MUGGIANO 14;MILANO;LOMBARDIA;SI;www.icbrunomunari.gov.it;True;9,070739999999999;45,44891
MIAA8C702X;201617;NORD OVEST;20153;F205;MIIC8C7002;I.C. LUCIANO MANARA;VIA LAMENNAIS;NORMALE;MILANO;SCUOLA INFANZIA;NO;Non Disponibile;MIIC8C7002@istruzione.it;Non Disponibile;VIA LAMENNAIS 19;MILANO;LOMBARDIA;SI;www.istitutolucianomanara.gov.it;True;9,1126518;45,4736554
MIMM8D001V;201617;NORD OVEST;20152;F205;MIIC8D000T;IC IQBAL MASIH/MILANO;SMS IQBAL MASIH -;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8D000T@istruzione.it;Non Disponibile;VIA BIANCA MILESI 4;MILANO;LOMBARDIA;SI;www.icsiqbalmasih.gov.it;True;9,103138099999999;45,4603082
MIPS026016;201617;NORD OVEST;20159;F205;MIIS02600Q;CREMONA;"L. S."" L.CREMONA"" -SEZ. ASS. IIS CREMONA";NORMALE;MILANO;LICEO SCIENTIFICO;NO;Non Disponibile;MIIS02600Q@istruzione.it;Non Disponibile;VIALE MARCHE 73;MILANO;LOMBARDIA;SI;www.iiscremona.gov.it;True;9,1901419;45,4964364
MIPC01000C;201617;NORD OVEST;20123;F205;MIPC01000C;MANZONI;MANZONI;NORMALE;MILANO;LICEO CLASSICO;SI;Non Disponibile;MIPC01000C@istruzione.it;mipc01000c@pec.istruzione.it;VIA ORAZIO 3;MILANO;LOMBARDIA;SI;www.liceoclassicomanzoni.gov.it;True;9,177759;45,4598427
MIEE81402C;201617;NORD OVEST;20121;F205;MIIC814009;IC CAVALIERI/MILANO;AZ. OSP. FATEBENEFRATELLI E OFTALMICO;C/O IST. OSPEDALIERO;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC814009@istruzione.it;Non Disponibile;CORSO DI PORTA NUOVA 23;MILANO;LOMBARDIA;SI;www.iccavalieri.gov.it;True;9,192081199999999;45,4786489
MIEE8FW014;201617;NORD OVEST;20142;F205;MIIC8FW002;I.C. VIA ARCADIA - MILANO;VIA DELL'ARCADIA - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8FW002@istruzione.it;Non Disponibile;VIA DELL'ARCADIA;MILANO;LOMBARDIA;SI;www.arcadia.gov.it;True;9,171453;45,4168988
MIMM823015;201617;NORD OVEST;20139;F205;MIIC823004;I.C. MARCELLO CANDIA;I.C. MARCELLO CANDIA;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC823004@istruzione.it;Non Disponibile;VIA MINCIO 21;MILANO;LOMBARDIA;SI;www.icmarcellocandia.it;True;9,2182942;45,4391407
MIPS02301P;201617;NORD OVEST;20151;F205;MIIS023008;IST.ISTR.SUP.G.CARDANO;G.CARDANO;NORMALE;MILANO;LICEO SCIENTIFICO;NO;Non Disponibile;MIIS023008@istruzione.it;Non Disponibile;VIA NATTA11;MILANO;LOMBARDIA;SI;www.iiscardano.gov.it;True;9,124389299999999;45,488845
MIPC03000N;201617;NORD OVEST;20127;F205;MIPC03000N;CARDUCCI;CARDUCCI;NORMALE;MILANO;LICEO CLASSICO;SI;Non Disponibile;MIPC03000N@istruzione.it;mipc03000n@pec.istruzione.it;VIA BEROLDO9;MILANO;LOMBARDIA;SI;www.liceoclassicocarducci.gov.it;True;9,2143812;45,4881187
MIAA8DF02P;201617;NORD OVEST;20162;F205;MIIC8DF00R;IC SANDRO PERTINI/MILANO;V.LE SUZZANI;NORMALE;MILANO;SCUOLA INFANZIA;NO;Non Disponibile;MIIC8DF00R@istruzione.it;Non Disponibile;V.LE SUZZANI 240;MILANO;LOMBARDIA;SI;http//www.icpertinimilano.gov.it/;True;9,1975186;45,5055773
MIEE8BB02B;201617;NORD OVEST;20123;F205;MIIC8BB008;IC A. DIAZ/MILANO;E.DE MARCHI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8BB008@istruzione.it;Non Disponibile;VIA SANT'ORSOLA 15;MILANO;LOMBARDIA;SI;www.icsdiaz.it;True;9,1805831;45,4626277
MIMM8CR017;201617;NORD OVEST;20161;F205;MIIC8CR006;IC SORELLE AGAZZI/ MILANO;GANDHI - RODARI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8CR006@istruzione.it;Non Disponibile;P.ZZA GASPARRI 6 - VIA GABBRO 6/A;MILANO;LOMBARDIA;SI;WWW.ICSORELLEAGAZZI.GOV.IT;True;9,1612847;45,5147258
MIPS05101V;201617;NORD OVEST;20142;F205;MIIS05100C;CLAUDIO VARALLI;"""CLAUDIO VARALLI""";NORMALE;MILANO;LICEO SCIENTIFICO;NO;Non Disponibile;MIIS05100C@istruzione.it;Non Disponibile;VIA ULISSE DINI 7;MILANO;LOMBARDIA;SI;www.ittvaralli.it;True;9,179872699999999;45,4292374
MIEE823027;201617;NORD OVEST;20139;F205;MIIC823004;I.C. MARCELLO CANDIA;I.C. MARCELLO CANDIA;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC823004@istruzione.it;Non Disponibile;VIA VALLARSA 19;MILANO;LOMBARDIA;SI;http//www.icmarcellocandia.it/;True;9,2100218;45,44263670000001
MIEE81401B;201617;NORD OVEST;20123;F205;MIIC814009;IC CAVALIERI/MILANO;ARIBERTO AGGR. SMS CAVALIERI-MI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC814009@istruzione.it;Non Disponibile;VIA ARIBERTO INTIMIANO 14;MILANO;LOMBARDIA;SI;www.iccavalieri.gov.it;True;9,173313199999999;45,4589262
MITD02301E;201617;NORD OVEST;20151;F205;MIIS023008;IST.ISTR.SUP.G.CARDANO;I.T. COMM. E GEOM. DI VIA NATTA;NORMALE;MILANO;IST TEC COMMERCIALE E PER GEOMETRI;NO;Non Disponibile;MIIS023008@istruzione.it;Non Disponibile;VIA NATTA11;MILANO;LOMBARDIA;SI;www.iiscardano.gov.it;True;9,124389299999999;45,488845
MIMM81401A;201617;NORD OVEST;20123;F205;MIIC814009;IC CAVALIERI/MILANO;CAVALIERI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC814009@istruzione.it;Non Disponibile;VIA ANCO MARZIO 9;MILANO;LOMBARDIA;SI;www.iccavalieri.gov.it;True;9,170311500000002;45,4597805
MIEE8BB01A;201617;NORD OVEST;20122;F205;MIIC8BB008;IC A. DIAZ/MILANO;A.DIAZ - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8BB008@istruzione.it;Non Disponibile;VIA CROCEFISSO 15;MILANO;LOMBARDIA;SI;www.icsdiaz.GOV.IT;True;9,1858051;45,45703169999999
MIAA8CR013;201617;NORD OVEST;20161;F205;MIIC8CR006;IC SORELLE AGAZZI/ MILANO;VIA CICCOTTI;NORMALE;MILANO;SCUOLA INFANZIA;NO;Non Disponibile;MIIC8CR006@istruzione.it;Non Disponibile;VIA CICCOTTI 2;MILANO;LOMBARDIA;SI;www.icsorelleagazzi.gov.it;True;9,1665975;45,5228407
MIEE8FW036;201617;NORD OVEST;20142;F205;MIIC8FW002;I.C. VIA ARCADIA - MILANO;VIA FERABOLI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8FW002@istruzione.it;Non Disponibile;VIA FERABOLI 44;MILANO;LOMBARDIA;SI;www.arcadia.gov.it;True;9,1702719;45,4146888
MITN05101L;201617;NORD OVEST;20142;F205;MIIS05100C;CLAUDIO VARALLI;"""CLAUDIO VARALLI"" - MILANO";NORMALE;MILANO;ISTITUTO TECNICO PER IL TURISMO;NO;Non Disponibile;MIIS05100C@istruzione.it;Non Disponibile;VIA ULISSE DINI 7;MILANO;LOMBARDIA;SI;www.ittvaralli.it;True;9,179872699999999;45,4292374
MIEE81403D;201617;NORD OVEST;20122;F205;MIIC814009;IC CAVALIERI/MILANO;OSPEDALE MAGGIORE POLICLINICO;C/O IST. OSPEDALIERO;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC814009@istruzione.it;Non Disponibile;VIA SFORZA 33;MILANO;LOMBARDIA;SI;www.iccavalieri.gov.it;True;9,1953719;45,459463
MIEE8CR04B;201617;NORD OVEST;20161;F205;MIIC8CR006;IC SORELLE AGAZZI/ MILANO;VIA GABBRO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CR006@istruzione.it;Non Disponibile;VIA GABBRO 6;MILANO;LOMBARDIA;SI;WWW.ICSSORELLEAGAZZI.GOV.IT;True;9,1605159;45,5153296
MIMM8AG01T;201617;NORD OVEST;20157;F205;MIIC8AG00R;IC VIA VAL LAGARINA /MILANO;VICO;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8AG00R@istruzione.it;Non Disponibile;VIA ORSINI FELICE 25;MILANO;LOMBARDIA;SI;www.icsviavallagarina.cov.it;True;9,1328774;45,5180797
MIEE8CR029;201617;NORD OVEST;20161;F205;MIIC8CR006;IC SORELLE AGAZZI/ MILANO;CLINICA NEUROPSICHIATRICA;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CR006@istruzione.it;Non Disponibile;VIA BESTA 1;MILANO;LOMBARDIA;SI;Non Disponibile;True;9,1652109;45,5192009
MIMM824011;201617;NORD OVEST;20154;F205;MIIC82400X;IC G.GIUSTI E C.D'ASSISI/MILANO;PANZINI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC82400X@istruzione.it;Non Disponibile;VIA GIUSTI 15/A;MILANO;LOMBARDIA;SI;WWW.ICGIUSTI.IT;True;9,176897199999999;45,480106
MIEE8AG02X;201617;NORD OVEST;20157;F205;MIIC8AG00R;IC VIA VAL LAGARINA /MILANO;GHERARDINI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8AG00R@istruzione.it;Non Disponibile;VIA CITTADINI 9;MILANO;LOMBARDIA;SI;www.icsviavallagarina.gov.it;True;9,1293898;45,5141234
MIEE8C301R;201617;NORD OVEST;20151;F205;MIIC8C300P;IC RICCARDO MASSA/MILANO;VIA BROCCHI - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8C300P@istruzione.it;Non Disponibile;VIA BROCCHI VIRGILIO5;MILANO;LOMBARDIA;SI;www.icriccardomassa.gov.it;True;9,11969;45,49306
MITD026012;201617;NORD OVEST;20159;F205;MIIS02600Q;CREMONA;"ITE ""G.ZAPPA""-SEZ. ASS. I.I.S. CREMONA";NORMALE;MILANO;ISTITUTO TECNICO COMMERCIALE;NO;Non Disponibile;MIIS02600Q@istruzione.it;Non Disponibile;VIALE MARCHE 71;MILANO;LOMBARDIA;SI;www.iiscremona.gov.it;True;9,1913524;45,4961146
MIEE824023;201617;NORD OVEST;20121;F205;MIIC82400X;IC G.GIUSTI E C.D'ASSISI/MILANO;CICERI VISCONTI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC82400X@istruzione.it;Non Disponibile;VIA PALERMO 79;MILANO;LOMBARDIA;SI;www.icgiusti.it;True;9,183794899999999;45,4754029
MITF03801E;201617;NORD OVEST;20161;F205;MIIS038002;GIUSEPPE LUIGI LAGRANGE;GIUSEPPE LUIGI LAGRANGE;NORMALE;MILANO;ISTITUTO TECNICO INDUSTRIALE;NO;Non Disponibile;MIIS038002@istruzione.it;Non Disponibile;VIA LITTA MODIGNANI65;MILANO;LOMBARDIA;SI;www.iislagrange.gov.it;True;9,157227899999999;45,5211767
MIEE823016;201617;NORD OVEST;20139;F205;MIIC823004;I.C. MARCELLO CANDIA;I.C. MARCELLO CANDIA;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC823004@istruzione.it;Non Disponibile;VIA POLESINE 12/14;MILANO;LOMBARDIA;SI;www.iclorenzinifeltre.it;True;9,22275;45,43934
MIPM11000D;201617;NORD OVEST;20121;F205;MIPM11000D;CARLO TENCA;CARLO TENCA;NORMALE;MILANO;ISTITUTO MAGISTRALE;SI;Non Disponibile;MIPM11000D@istruzione.it;mipm11000d@pec.istruzione.it;BASTIONI PORTA VOLTA 16;MILANO;LOMBARDIA;SI;www.istitutotenca.gov.it;True;9,1811515;45,4792414
MITF290008;201617;NORD OVEST;20148;F205;MITF290008;ETTORE CONTI;ETTORE CONTI;NORMALE;MILANO;ISTITUTO TECNICO INDUSTRIALE;SI;Non Disponibile;MITF290008@istruzione.it;mitf290008@pec.istruzione.it;VIA A. DE VINCENTI 11;MILANO;LOMBARDIA;SI;www.ettoreconti.gov.it;True;9,1411369;45,47718709999999
MIEE8C402N;201617;NORD OVEST;20148;F205;MIIC8C400E;IC L.CADORNA/MILANO;L.CADORNA - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8C400E@istruzione.it;Non Disponibile;VIA DOLCI 5;MILANO;LOMBARDIA;SI;www.istitutocadorna.it;True;9,143046;45,4719907
MIPS01000G;201617;NORD OVEST;20137;F205;MIPS01000G;L.S. EINSTEIN;L.S. EINSTEIN;NORMALE;MILANO;LICEO SCIENTIFICO;SI;Non Disponibile;MIPS01000G@istruzione.it;mips01000g@pec.istruzione.it;VIA EINSTEIN 3;MILANO;LOMBARDIA;SI;http//www.liceoeinsteinmilano.gov.it;True;9,2163899;45,4503603
MIEE8CD02N;201617;NORD OVEST;20136;F205;MIIC8CD00E;IC P.THOUAR E L.GONZAGA/MILANO;PIOLTI DE BIANCHI GASPARA;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CD00E@istruzione.it;Non Disponibile;VIA GENTILINO 14;MILANO;LOMBARDIA;SI;www.thouar-gonzaga.it;True;9,1824465;45,4490656
MIEE8C401L;201617;NORD OVEST;20148;F205;MIIC8C400E;IC L.CADORNA/MILANO;M.L.KING;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8C400E@istruzione.it;Non Disponibile;P.ZZA SANTA MARIA NASCENTE30;MILANO;LOMBARDIA;SI;www.istitutocadorna.it;True;9,1352611;45,4866129
MIMM8DV012;201617;NORD OVEST;20125;F205;MIIC8DV001;IC FRANCESCHI/MILANO;FRANCESCHI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8DV001@istruzione.it;Non Disponibile;VIA CAGLIERO 20;MILANO;LOMBARDIA;SI;www.icrobertofranceschi.it;True;9,201545399999999;45,4967566
MIEE8CD01L;201617;NORD OVEST;20136;F205;MIIC8CD00E;IC P.THOUAR E L.GONZAGA/MILANO;P.THOUAR E L.GONZAGA - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CD00E@istruzione.it;Non Disponibile;VIA BRUNACCI 2/4;MILANO;LOMBARDIA;SI;www.thouar-gonzaga.it;True;9,1773264;45,4447082
MITF19000B;201617;NORD OVEST;20139;F205;MITF19000B;"I.T.S.O.S. ""ALBE STEINER""";"I.T.S.O.S. ""ALBE STEINER""";NORMALE;MILANO;ISTITUTO TECNICO INDUSTRIALE;SI;Non Disponibile;MITF19000B@istruzione.it;mitf19000b@pec.istruzione.it;VIA S. DIONIGI 36;MILANO;LOMBARDIA;SI;www.itsosmilano.gov.it;True;9,2172272;45,4329897
MIRC08000A;201617;NORD OVEST;20123;F205;MIRC08000A;CAVALIERI;CAVALIERI;NORMALE;MILANO;IST PROF PER I SERVIZI COMMERCIALI;SI;Non Disponibile;MIRC08000A@istruzione.it;mirc08000a@pec.istruzione.it;VIA OLONA14;MILANO;LOMBARDIA;SI;www.istitutocavalieri-superiori.it;True;9,1712135;45,460021
MIMM8C401G;201617;NORD OVEST;20148;F205;MIIC8C400E;IC L.CADORNA/MILANO;RICCI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8C400E@istruzione.it;Non Disponibile;VIA LOVERE 4;MILANO;LOMBARDIA;SI;www.istitutocadorna.it;True;9,1384846;45,4847066
MIEE8CD03P;201617;NORD OVEST;20144;F205;MIIC8CD00E;IC P.THOUAR E L.GONZAGA/MILANO;F.CONFORTI E B.AVOGADRO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CD00E@istruzione.it;Non Disponibile;VIA VIGEVANO 19;MILANO;LOMBARDIA;SI;www.thouar-gonzaga.it;True;9,1735992;45,4525817
