CODICESCUOLA;ANNOSCOLASTICO;AREAGEOGRAFICA;CAPSCUOLA;CODICECOMUNESCUOLA;CODICEISTITUTORIFERIMENTO;DENOMINAZIONEISTITUTORIFERIMENTO;DENOMINAZIONESCUOLA;DESCRIZIONECARATTERISTICASCUOLA;DESCRIZIONECOMUNE;DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA;INDICAZIONESEDEDIRETTIVO;INDICAZIONESEDEOMNICOMPRENSIVO;INDIRIZZOEMAILSCUOLA;INDIRIZZOPECSCUOLA;INDIRIZZOSCUOLA;PROVINCIA;REGIONE;SEDESCOLASTICA;SITOWEBSCUOLA;bStatale;Long;Lat
TOEE87801A;201617;NORD OVEST;10147;L219;TOIC878008;I.C. TORINO - UMBERTO SABA;I.C. UMBERTO SABA - GALIMBERTI;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOIC878008@istruzione.it;Non Disponibile;VIA MOSCA 11;TORINO;PIEMONTE;SI;www.icsabatorino.gov;True;7,677369199999998;45,1027906
TOAA027019;201617;NORD OVEST;10155;L219;TOEE02700D;"D.D. TORINO - ""FRANK""";"FRANK - ""DISNEY""";NORMALE;TORINO;SCUOLA INFANZIA;NO;Non Disponibile;TOEE02700D@istruzione.it;Non Disponibile;VIA CAVAGNOLO 35;TORINO;PIEMONTE;SI;www.annafrank.it;True;7,7072341;45,1160496
TOAA80502C;201617;NORD OVEST;10156;L219;TOIC80500E;"I.C. TORINO - ""CENA""";I.C. CENA - E/16;NORMALE;TORINO;SCUOLA INFANZIA;NO;Non Disponibile;TOIC80500E@istruzione.it;Non Disponibile;VIA ANGESIO 17;TORINO;PIEMONTE;SI;www.scuolamarro.it;True;7,67536;45,1070042
TOPS00301D;201617;NORD OVEST;10137;L219;TOIS003003;I.I.S. E. MAJORANA;E. MAJORANA;NORMALE;TORINO;LICEO SCIENTIFICO;NO;Non Disponibile;TOIS003003@istruzione.it;Non Disponibile;VIA FRATTINI 11;TORINO;PIEMONTE;SI;www.majoranatorino.it;True;7,628849;45,0360521
TOEE8AZ01E;201617;NORD OVEST;10141;L219;TOIC8AZ00C;I.C. TORINO - ALBERTI;I.C. ALBERTI TORINO-SANTAROSA;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOIC8AZ00C@istruzione.it;Non Disponibile;VIA BRACCINI 70;TORINO;PIEMONTE;SI;http//WWW.ICALBERTI.GOV.IT;True;7,6472455;45,0606637
TOAA00503E;201617;NORD OVEST;10141;L219;TOEE00500L;"D.D. TORINO - ""BARICCO""";BARICCO VIA STELVIO;NORMALE;TORINO;SCUOLA INFANZIA;NO;Non Disponibile;TOEE00500L@istruzione.it;Non Disponibile;VIA STELVIO 45;TORINO;PIEMONTE;SI;http//www.scuolabaricco.gov.it;True;7,628509999999999;45,0657
TOEE00501N;201617;NORD OVEST;10139;L219;TOEE00500L;"D.D. TORINO - ""BARICCO""";BARICCO;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOEE00500L@istruzione.it;Non Disponibile;CORSO PESCHIERA 380;TORINO;PIEMONTE;SI;http//www.scuolabaricco.gov.it;True;7,6259525;45,0740223
TOTF06101G;201617;NORD OVEST;10147;L219;TOIS061003;I.I.S. G. PEANO;G. PEANO;NORMALE;TORINO;ISTITUTO TECNICO INDUSTRIALE;NO;Non Disponibile;TOIS061003@istruzione.it;Non Disponibile;CORSO VENEZIA 29;TORINO;PIEMONTE;SI;www.peano.it;True;7,6807889;45,0942245
TORS010007;201617;NORD OVEST;10127;L219;TORS010007;MAGAROTTO;MAGAROTTO;PER SORDOMUTI;TORINO;IST PROF INDUSTRIA E ARTIGIANATO PER SORDOMUTI;NO;Non Disponibile;TORS010007@istruzione.it;Non Disponibile;VIA MONTE CORNO 34;TORINO;PIEMONTE;SI;www.isiss-magarotto.gov.it/torino;True;7,653650700000001;45,0249789
TORH02901B;201617;NORD OVEST;10154;L219;TOIS029007;I.P.S. J. B. BECCARI;I.P.S. J. B. BECCARI;NORMALE;TORINO;IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE;NO;Non Disponibile;TOIS029007@istruzione.it;Non Disponibile;VIA PAGANINI22;TORINO;PIEMONTE;SI;www.istitutobeccari.gov.it;True;7,704690999999999;45,0854019
TOMM8AZ01D;201617;NORD OVEST;10141;L219;TOIC8AZ00C;I.C. TORINO - ALBERTI;I.C. ALBERTI - TORINO;NORMALE;TORINO;SCUOLA PRIMO GRADO;NO;Non Disponibile;TOIC8AZ00C@istruzione.it;Non Disponibile;VIA TOLMINO 40;TORINO;PIEMONTE;SI;http//www.icalberti.gov.it;True;7,64491;45,05706
TOTD03701C;201617;NORD OVEST;10121;L219;TOIS037006;I.I.S. SELLA-AALTO-LAGRANGE;SELLA;NORMALE;TORINO;ISTITUTO TECNICO COMMERCIALE;NO;Non Disponibile;TOIS037006@istruzione.it;Non Disponibile;VIA MONTECUCCOLI 12;TORINO;PIEMONTE;SI;www.sellaaaltolagrange.gov.it;True;7,670993500000001;45,070437
TOEE817031;201617;NORD OVEST;10143;L219;TOIC81700R;"I.C. TORINO - ""PACINOTTI""";I.C. PACINOTTI-PRIM. MANZONI;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOIC81700R@istruzione.it;Non Disponibile;CORSO SVIZZERA 59/61;TORINO;PIEMONTE;SI;www.icpacinotti.it;True;7,650537;45,0815496
TOSD02000L;201617;NORD OVEST;10123;L219;TOSD02000L;A. PASSONI;A. PASSONI;SCUOLA ANNESSA;TORINO;ISTITUTO D'ARTE;SI;Non Disponibile;TOSD02000L@istruzione.it;tosd02000l@pec.istruzione.it;VIA DELLA ROCCA N.7;TORINO;PIEMONTE;SI;www.lapassoni.it;True;7,6936806;45,0638571
TOEE81804T;201617;NORD OVEST;10132;L219;TOIC81800L;"I.C. TORINO - ""GOZZI-OLIVETTI""";IC OLIVETTI-VITTORIO AMEDEO II;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOIC81800L@istruzione.it;Non Disponibile;STRADA MONGRENO 53;TORINO;PIEMONTE;SI;http//gozzi-olivetti.org;True;7,737554299999999;45,0784287
TOMM881015;201617;NORD OVEST;10134;L219;TOIC881004;"I.C. TORINO - ""S. PERTINI""";I.C. S.PERTINI - VIA TUNISI TO;NORMALE;TORINO;SCUOLA PRIMO GRADO;NO;Non Disponibile;TOIC881004@istruzione.it;Non Disponibile;VIA TUNISI 102;TORINO;PIEMONTE;SI;www.icpertinitorino.it;True;7,6551939;45,0366049
TOAA8BE01L;201617;NORD OVEST;10152;L219;TOIC8BE00Q;I.C. TORINO II;I.C. TORINO II - VIA BEINASCO;NORMALE;TORINO;SCUOLA INFANZIA;NO;Non Disponibile;TOIC8BE00Q@istruzione.it;Non Disponibile;VIA BEINASCO 34;TORINO;PIEMONTE;SI;www.ictorino2.gov.it;True;7,678016599999999;45,0878337
TOEE81803R;201617;NORD OVEST;10132;L219;TOIC81800L;"I.C. TORINO - ""GOZZI-OLIVETTI""";IC OLIVETTI-GIOVANNI VILLATA;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOIC81800L@istruzione.it;Non Disponibile;VIA BEATO CAFASSO 73;TORINO;PIEMONTE;SI;http//www.gozzi-olivetti.org;True;7,730312199999999;45,0878567
TOTL03701V;201617;NORD OVEST;10141;L219;TOIS037006;I.I.S. SELLA-AALTO-LAGRANGE;AALTO;NORMALE;TORINO;ISTITUTO TECNICO PER GEOMETRI;NO;Non Disponibile;TOIS037006@istruzione.it;Non Disponibile;VIA BRACCINI 11;TORINO;PIEMONTE;SI;www.sellaaaltolagrange.gov.it;True;7,6545136;45,0591951
TOAA881022;201617;NORD OVEST;10134;L219;TOIC881004;"I.C. TORINO - ""S. PERTINI""";"I.C.""S. PERTINI"" L.GO LA LOGGIA";NORMALE;TORINO;SCUOLA INFANZIA;NO;Non Disponibile;TOIC881004@istruzione.it;Non Disponibile;LARGO LA LOGGIA 51;TORINO;PIEMONTE;SI;WWW.ICPERTINITORINO.IT;True;7,653292099999999;45,0317467
TOEE00505T;201617;NORD OVEST;10141;L219;TOEE00500L;"D.D. TORINO - ""BARICCO""";BARICCO-FATTORI;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOEE00500L@istruzione.it;Non Disponibile;VIA O. CASTELLINO 10;TORINO;PIEMONTE;SI;htpp//www.scuolabaricco.gov.it;True;7,630720699999999;45,0682171
TOEE881016;201617;NORD OVEST;10134;L219;TOIC881004;"I.C. TORINO - ""S. PERTINI""";"I.C. ""S. PERTINI"" - D. ABRUZZI";NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOIC881004@istruzione.it;Non Disponibile;VIA MONTEVIDEO 11;TORINO;PIEMONTE;SI;www.icpertinitorino.it;True;7,6541771;45,0364333
TOEE073018;201617;NORD OVEST;10122;L219;TOEE073007;D.D. ANNESSA CONVITTO UMBERTO I;UMBERTO I (CONVITTO NAZ.LE);ANNESSO A CONVITTO;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOEE073007@istruzione.it;Non Disponibile;VIA BLIGNY 1 BIS;TORINO;PIEMONTE;SI;www.cnuto.gov.it;True;7,6759051;45,0749127
TOAA029022;201617;NORD OVEST;10154;L219;TOEE029005;"D.D. TORINO - ""GABELLI""";GABELLI - TOMMASO DI SAVOIA;NORMALE;TORINO;SCUOLA INFANZIA;NO;Non Disponibile;TOEE029005@istruzione.it;Non Disponibile;VIA CERVINO 6;TORINO;PIEMONTE;SI;www.arigabelli.gov.it;True;7,688435999999999;45,0912946
TOEE8AY01P;201617;NORD OVEST;10142;L219;TOIC8AY00L;I.C. TORINO - PALAZZESCHI;I.C. PALAZZESCHI TO (PRIMARIA);NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOIC8AY00L@istruzione.it;Non Disponibile;VIA BRISSOGNE 32;TORINO;PIEMONTE;SI;www.icpalazzeschi.gov.it;True;7,618116100000001;45,0632097
TORC037015;201617;NORD OVEST;10152;L219;TOIS037006;I.I.S. SELLA-AALTO-LAGRANGE;L. LAGRANGE;NORMALE;TORINO;IST PROF PER I SERVIZI COMMERCIALI;NO;Non Disponibile;TOIS037006@istruzione.it;Non Disponibile;VIA GENE' 14;TORINO;PIEMONTE;SI;www.sellaaaltolagrange.gov.it;True;7,690059400000001;45,0763454
TOAA81702P;201617;NORD OVEST;10143;L219;TOIC81700R;"I.C. TORINO - ""PACINOTTI""";I.C. PACINOTTI - INF. MANZONI;NORMALE;TORINO;SCUOLA INFANZIA;NO;Non Disponibile;TOIC81700R@istruzione.it;Non Disponibile;VIA BALME 46;TORINO;PIEMONTE;SI;www.icpacinotti.it;True;7,649496300000001;45,0812775
TOAA029011;201617;NORD OVEST;10154;L219;TOEE029005;"D.D. TORINO - ""GABELLI""";GABELLI ANGELITA DI ANZIO;NORMALE;TORINO;SCUOLA INFANZIA;NO;Non Disponibile;TOEE029005@istruzione.it;Non Disponibile;VIA LEONCAVALLO 61/2;TORINO;PIEMONTE;SI;www.arigabelli.gov.it;True;7,7029018;45,0880511
TOEE87701E;201617;NORD OVEST;10152;L219;TOIC87700C;I.C. TORINO - REGIO PARCO;I.C. REGIO PARCO- LESSONA;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOIC87700C@istruzione.it;Non Disponibile;CORSO REGIO PARCO 19;TORINO;PIEMONTE;SI;www.icregioparco.gov.it;True;7,6945139;45,0771027
TOMM8AY01N;201617;NORD OVEST;10141;L219;TOIC8AY00L;I.C. TORINO - PALAZZESCHI;I.C. PALAZZESCHI - TORINO;NORMALE;TORINO;SCUOLA PRIMO GRADO;NO;Non Disponibile;TOIC8AY00L@istruzione.it;Non Disponibile;VIA LANCIA 140;TORINO;PIEMONTE;SI;htt//www.icpalazzeschi.gov.it;True;7,628413699999999;45,0628398
TOMM81801N;201617;NORD OVEST;10132;L219;TOIC81800L;"I.C. TORINO - ""GOZZI-OLIVETTI""";IC OLIVETTI-CAMILLO OLIVETTI;NORMALE;TORINO;SCUOLA PRIMO GRADO;NO;Non Disponibile;TOIC81800L@istruzione.it;Non Disponibile;VIA BARDASSANO 5;TORINO;PIEMONTE;SI;http//www.gozzi-olivetti.org;True;7,711492999999999;45,067017
TORI02901V;201617;NORD OVEST;10154;L219;TOIS029007;I.P.S. J. B. BECCARI;I.P.S. J. B. BECCARI;NORMALE;TORINO;IST PROF INDUSTRIA E ARTIGIANATO;NO;Non Disponibile;TOIS029007@istruzione.it;Non Disponibile;VIA PAGANINI22;TORINO;PIEMONTE;SI;www.istitutobeccari.it;True;7,704690999999999;45,0854019
TOEE06901L;201617;NORD OVEST;10137;L219;TOEE06900G;"D.D. TORINO - ""GOBETTI""";GOBETTI;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOEE06900G@istruzione.it;Non Disponibile;VIA ROMITA 19;TORINO;PIEMONTE;SI;http//www.scuolagobettitorino.gov.it;True;7,626119;45,0474428
TOTD06401R;201617;NORD OVEST;10127;L219;TOIS06400E;IIS COPERNICO-LUXEMBURG;ROSA LUXEMBURG;NORMALE;TORINO;ISTITUTO TECNICO COMMERCIALE;NO;Non Disponibile;TOIS06400E@istruzione.it;Non Disponibile;C.SO CAIO PLINIO 6;TORINO;PIEMONTE;SI;www.copernicoluxemburg.gov.it;True;7,6552925;45,0260424
TOAA81701N;201617;NORD OVEST;10144;L219;TOIC81700R;"I.C. TORINO - ""PACINOTTI""";I.C. PACINOTTI - V.FOSSANO;NORMALE;TORINO;SCUOLA INFANZIA;NO;Non Disponibile;TOIC81700R@istruzione.it;Non Disponibile;VIA FOSSANO 8;TORINO;PIEMONTE;SI;www.icpacinotti.it;True;7,6619338;45,0853839
TOAA81801D;201617;NORD OVEST;10132;L219;TOIC81800L;"I.C. TORINO - ""GOZZI-OLIVETTI""";IC OLIVETTI-REAGLIE;NORMALE;TORINO;SCUOLA INFANZIA;NO;Non Disponibile;TOIC81800L@istruzione.it;Non Disponibile;CORSO CHIERI 136;TORINO;PIEMONTE;SI;http/www.gozzi-olivetti.org;True;7,740762399999999;45,0602302
TOEE81702X;201617;NORD OVEST;10144;L219;TOIC81700R;"I.C. TORINO - ""PACINOTTI""";I.C. PACINOTTI - DE FILIPPO;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOIC81700R@istruzione.it;Non Disponibile;VIA FOSSANO 16;TORINO;PIEMONTE;SI;www.icpacinotti.it;True;7,660862099999999;45,085633
TOEE81701V;201617;NORD OVEST;10144;L219;TOIC81700R;"I.C. TORINO - ""PACINOTTI""";I.C. PACINOTTI - BONCOMPAGNI;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOIC81700R@istruzione.it;Non Disponibile;VIA VIDUA 1;TORINO;PIEMONTE;SI;www.icpacinotti.it;True;7,660941800000001;45,08104669999999
TOPS064011;201617;NORD OVEST;10127;L219;TOIS06400E;IIS COPERNICO-LUXEMBURG;N. COPERNICO;NORMALE;TORINO;LICEO SCIENTIFICO;NO;Non Disponibile;TOIS06400E@istruzione.it;Non Disponibile;CORSO CAIO PLINIO2;TORINO;PIEMONTE;SI;www.copernicoluxemburg.gov.it;True;7,6549516;45,02655410000001
TOEE88301T;201617;NORD OVEST;10138;L219;TOIC88300Q;I.C. RITA LEVI-MONTALCINI;I.C. PALMIERI - ALFIERI;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOIC88300Q@istruzione.it;Non Disponibile;VIA PALMIERI 58;TORINO;PIEMONTE;SI;WWW.ICPALMIERI.GOV.IT;True;7,659515600000001;45,0718366
TOEE81801P;201617;NORD OVEST;10132;L219;TOIC81800L;"I.C. TORINO - ""GOZZI-OLIVETTI""";IC OLIVETTI-GASPARE GOZZI;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOIC81800L@istruzione.it;Non Disponibile;VIA GASSINO 13;TORINO;PIEMONTE;SI;http//www.gozzi-olivetti.org;True;7,7167621;45,066772
TOAA88201R;201617;NORD OVEST;10127;L219;TOIC88200X;I.C. TORINO - VIA SIDOLI;"I.C. SIDOLI - ""FANCIULLI""";NORMALE;TORINO;SCUOLA INFANZIA;NO;Non Disponibile;TOIC88200X@istruzione.it;Non Disponibile;VIA CAROLINA INVERNIZIO21;TORINO;PIEMONTE;SI;http//www.icviasidoli.it;True;7,6550184;45,0223009
TOEE81901E;201617;NORD OVEST;10125;L219;TOIC81900C;"I.C. TORINO - ""MANZONI""";I.C. MANZONI - RAYNERI;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOIC81900C@istruzione.it;Non Disponibile;CORSO MARCONI 28;TORINO;PIEMONTE;SI;www.icmanzoni.gov.it;True;7,681584099999999;45,0554692
TOAA81802E;201617;NORD OVEST;10132;L219;TOIC81800L;"I.C. TORINO - ""GOZZI-OLIVETTI""";IC OLIVETTI-BONCOMPAGNI;NORMALE;TORINO;SCUOLA INFANZIA;NO;Non Disponibile;TOIC81800L@istruzione.it;Non Disponibile;VIA BEATO CAFASSO 73;TORINO;PIEMONTE;SI;http//www.gozzi-olivetti.org;True;7,730312199999999;45,0878567
TOPC01000C;201617;NORD OVEST;10143;L219;TOPC01000C;LICEO CLASSICO E MUSICALE C. CAVOUR;LICEO CLASSICO E MUSICALE C. CAVOUR;NORMALE;TORINO;LICEO CLASSICO;SI;Non Disponibile;TOPC01000C@istruzione.it;topc01000c@pec.istruzione.it;CORSO TASSONI 15;TORINO;PIEMONTE;SI;www.lcavour.gov.it;True;7,655862099999999;45,07778560000001
TOMM88301R;201617;NORD OVEST;10138;L219;TOIC88300Q;I.C. RITA LEVI-MONTALCINI;I.C.V.PALMIERI-P.ZZA BERNINI-TO;NORMALE;TORINO;SCUOLA PRIMO GRADO;NO;Non Disponibile;TOIC88300Q@istruzione.it;Non Disponibile;VIA DUCHESSA JOLANDA 29;TORINO;PIEMONTE;SI;WWW.ICPALMIERI.GOV.IT;True;7,657372000000001;45,0755363
TOMM81902E;201617;NORD OVEST;10126;L219;TOIC81900C;"I.C. TORINO - ""MANZONI""";I.C.MANZONI-PER CIECHI H.KELLER;PER CIECHI;TORINO;SCUOLA PRIMO GRADO;NO;Non Disponibile;TOIC81900C@istruzione.it;Non Disponibile;VIA NIZZA 151;TORINO;PIEMONTE;SI;www.icmanzoni.GOV.IT;True;7,6717903;45,0436334
TOEE80502N;201617;NORD OVEST;10156;L219;TOIC80500E;"I.C. TORINO - ""CENA""";I.C. CENA - ABBADIA DI STURA;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOIC80500E@istruzione.it;Non Disponibile;VIA M. ANGLESIO 17;TORINO;PIEMONTE;SI;share.dschola.it/cenatorino/default.aspx;True;7,7312895;45,10428479999999
TOEE815028;201617;NORD OVEST;10124;L219;TOIC815005;"I.C. TORINO - ""TOMMASEO""";I.C. TOMMASEO-F.D'ASSISI;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOIC815005@istruzione.it;Non Disponibile;VIA GIULIA DI BAROLO 8;TORINO;PIEMONTE;SI;www.tommaseo.it;True;7,69597;45,06694
TOPS06101D;201617;NORD OVEST;10147;L219;TOIS061003;I.I.S. G. PEANO;G. PEANO;NORMALE;TORINO;LICEO SCIENTIFICO;NO;Non Disponibile;TOIS061003@istruzione.it;Non Disponibile;CORSO VENEZIA 29;TORINO;PIEMONTE;SI;www.peano.it;True;7,6807889;45,0942245
TOAA8AZ019;201617;NORD OVEST;10141;L219;TOIC8AZ00C;I.C. TORINO - ALBERTI;I.C. ALBERTI TORINO-V.BRACC.63;NORMALE;TORINO;SCUOLA INFANZIA;NO;Non Disponibile;TOIC8AZ00C@istruzione.it;Non Disponibile;VIA BRACCINI 63;TORINO;PIEMONTE;SI;http//WWW.ICALBERTI.GOV.IT;True;7,6493964;45,0601276
TOMM81901D;201617;NORD OVEST;10125;L219;TOIC81900C;"I.C. TORINO - ""MANZONI""";I.C. MANZONI - TORINO;NORMALE;TORINO;SCUOLA PRIMO GRADO;NO;Non Disponibile;TOIC81900C@istruzione.it;Non Disponibile;VIA GIACOSA 25;TORINO;PIEMONTE;SI;www.icmanzoni.gov.it;True;7,6822158;45,0547891
TOEE00401T;201617;NORD OVEST;10147;L219;TOEE00400R;"D.D. TORINO - ""ALLIEVO""";GIUSEPPE ALLIEVO;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOEE00400R@istruzione.it;Non Disponibile;VIA VIBO' 62;TORINO;PIEMONTE;SI;www.circolodidatticoallievotorino.gov.it;True;7,673769999999999;45,09596
TOAA88302N;201617;NORD OVEST;10138;L219;TOIC88300Q;I.C. RITA LEVI-MONTALCINI;I.C. PALMIERI - VIA CASALIS;NORMALE;TORINO;SCUOLA INFANZIA;NO;Non Disponibile;TOIC88300Q@istruzione.it;Non Disponibile;VIA CASALIS 54;TORINO;PIEMONTE;SI;www.icpalmieri.gov.it;True;7,6584736;45,0752804
TOMM079005;201617;NORD OVEST;10122;L219;TOMM079005;TO -UMBERTO I (CONVITTO NAZ.LE);TO -UMBERTO I (CONVITTO NAZ.LE);ANNESSO A CONVITTO;TORINO;SCUOLA PRIMO GRADO;NO;Non Disponibile;TOMM079005@istruzione.it;Non Disponibile;VIA BLIGNY 1 BIS;TORINO;PIEMONTE;SI;www.cnuto.it;True;7,6759051;45,0749127
TOAA00401L;201617;NORD OVEST;10149;L219;TOEE00400R;"D.D. TORINO - ""ALLIEVO""";TO ALLIEVO SPINA 3;NORMALE;TORINO;SCUOLA INFANZIA;NO;Non Disponibile;TOEE00400R@istruzione.it;Non Disponibile;V.ORVIETO 1 INTERNO 5-7-9;TORINO;PIEMONTE;SI;www.circolodidatticoallievotorino.gov.it;True;7,6702887;45,0911576
TOMM815016;201617;NORD OVEST;10124;L219;TOIC815005;"I.C. TORINO - ""TOMMASEO""";I.C. TOMMASEO - CALVINO - TO;NORMALE;TORINO;SCUOLA PRIMO GRADO;NO;Non Disponibile;TOIC815005@istruzione.it;Non Disponibile;VIA SANT'OTTAVIO 7;TORINO;PIEMONTE;SI;www.tommaseo.it;True;7,6933495;45,0674455
TOEE010026;201617;NORD OVEST;10148;L219;TOEE010004;"D.D. TORINO - ""PARRI""";PARRI;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOEE010004@istruzione.it;Non Disponibile;STRADA DI LANZO 147/11;TORINO;PIEMONTE;SI;www.scuola-parri-to.gov.it;True;7,6578266;45,1162072
TOEE182043;201617;NORD OVEST;10147;L219;TOEE18200V;"D.D. TORINO - ""ALERAMO""";B.V. CAMPAGNA - ANGELINI;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOEE18200V@istruzione.it;Non Disponibile;VIA CARDINAL MASSAIA 113;TORINO;PIEMONTE;SI;scuola-aleramo-torino.it;True;7,668355200000001;45,1026208
TOEE05602G;201617;NORD OVEST;10155;L219;TOEE05600D;"D.D. TORINO - ""SABIN""";SABIN - EX MARCHESA;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOEE05600D@istruzione.it;Non Disponibile;CORSO VERCELLI 141/8;TORINO;PIEMONTE;SI;www.ddsabin.it;True;7,692191399999999;45,09735879999999
