CODSCUOLA;ANNOSCOLASTICO;AREAGEOGRAFICA;CAPSCUOLA;CODICECOMUNESCUOLA;CODICEISTITUTORIFERIMENTO;DENOMINAZIONEISTITUTORIFERIMENTO;DENOMINAZIONESCUOLA;DESCRIZIONECARATTERISTICASCUOLA;DESCRIZIONECOMUNE;DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA;INDICAZIONESEDEDIRETTIVO;INDICAZIONESEDEOMNICOMPRENSIVO;INDIRIZZOEMAILSCUOLA;INDIRIZZOPECSCUOLA;INDIRIZZOSCUOLA;PROVINCIA;REGIONE;SEDESCOLASTICA;SITOWEBSCUOLA;bStatale;Long;Lat;ORDINESCUOLA;ALUNNI;nome_citta
MIEE8D101Q;201617;NORD OVEST;20155.0;F205;MIIC8D100N;IC RINNOVATA PIZZIGONI/MILANO;RINNOVATA PIZZIGONI-MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8D100N@istruzione.it;Non Disponibile;VIA C.DA CASTELLO 10;MILANO;LOMBARDIA;SI;www.scuolarinnovata.it;True;9,158636099999999;45,496284;SCUOLA PRIMARIA;609;MILANO
MIEE8FW025;201617;NORD OVEST;20142.0;F205;MIIC8FW002;I.C. VIA ARCADIA - MILANO;VIA BARONI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8FW002@istruzione.it;Non Disponibile;VIA BARONI 73;MILANO;LOMBARDIA;SI;www.arcadia.gov.it;True;9,1704541;45,4113674;SCUOLA PRIMARIA;230;MILANO
MIEE82002Q;201617;NORD OVEST;20152.0;F205;MIIC82000L;IC BRUNO MUNARI/ MILANO;N.TOMMASEO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC82000L@istruzione.it;Non Disponibile;VIA MUGGIANO 14;MILANO;LOMBARDIA;SI;www.icbrunomunari.gov.it;True;9,070739999999999;45,44891;SCUOLA PRIMARIA;95;MILANO
MIMM8D001V;201617;NORD OVEST;20152.0;F205;MIIC8D000T;IC IQBAL MASIH/MILANO;SMS IQBAL MASIH -;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8D000T@istruzione.it;Non Disponibile;VIA BIANCA MILESI 4;MILANO;LOMBARDIA;SI;www.icsiqbalmasih.gov.it;True;9,103138099999999;45,46030820000001;SCUOLA SECONDARIA I GRADO;417;MILANO
MIEE8FW014;201617;NORD OVEST;20142.0;F205;MIIC8FW002;I.C. VIA ARCADIA - MILANO;VIA DELL'ARCADIA - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8FW002@istruzione.it;Non Disponibile;VIA DELL'ARCADIA;MILANO;LOMBARDIA;SI;www.arcadia.gov.it;True;9,171453;45,4168988;SCUOLA PRIMARIA;331;MILANO
MIMM823015;201617;NORD OVEST;20139.0;F205;MIIC823004;I.C. MARCELLO CANDIA;I.C. MARCELLO CANDIA;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC823004@istruzione.it;Non Disponibile;VIA MINCIO 21;MILANO;LOMBARDIA;SI;www.icmarcellocandia.it;True;9,2182942;45,4391407;SCUOLA SECONDARIA I GRADO;330;MILANO
MIEE8BB02B;201617;NORD OVEST;20123.0;F205;MIIC8BB008;IC A. DIAZ/MILANO;E.DE MARCHI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8BB008@istruzione.it;Non Disponibile;VIA SANT'ORSOLA 15;MILANO;LOMBARDIA;SI;www.icsdiaz.it;True;9,1805831;45,4626277;SCUOLA PRIMARIA;326;MILANO
MIMM8CR017;201617;NORD OVEST;20161.0;F205;MIIC8CR006;IC SORELLE AGAZZI/ MILANO;GANDHI - RODARI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8CR006@istruzione.it;Non Disponibile;P.ZZA GASPARRI 6 - VIA GABBRO 6/A;MILANO;LOMBARDIA;SI;WWW.ICSORELLEAGAZZI.GOV.IT;True;9,1612847;45,5147258;SCUOLA SECONDARIA I GRADO;264;MILANO
MIEE823027;201617;NORD OVEST;20139.0;F205;MIIC823004;I.C. MARCELLO CANDIA;I.C. MARCELLO CANDIA;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC823004@istruzione.it;Non Disponibile;VIA VALLARSA 19;MILANO;LOMBARDIA;SI;http//www.icmarcellocandia.it/;True;9,210021800000002;45,44263670000001;SCUOLA PRIMARIA;323;MILANO
MIEE81401B;201617;NORD OVEST;20123.0;F205;MIIC814009;IC CAVALIERI/MILANO;ARIBERTO AGGR. SMS CAVALIERI-MI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC814009@istruzione.it;Non Disponibile;VIA ARIBERTO INTIMIANO 14;MILANO;LOMBARDIA;SI;www.iccavalieri.gov.it;True;9,173313199999999;45,45892620000001;SCUOLA PRIMARIA;471;MILANO
MIMM81401A;201617;NORD OVEST;20123.0;F205;MIIC814009;IC CAVALIERI/MILANO;CAVALIERI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC814009@istruzione.it;Non Disponibile;VIA ANCO MARZIO 9;MILANO;LOMBARDIA;SI;www.iccavalieri.gov.it;True;9,170311500000002;45,4597805;SCUOLA SECONDARIA I GRADO;489;MILANO
MIEE8BB01A;201617;NORD OVEST;20122.0;F205;MIIC8BB008;IC A. DIAZ/MILANO;A.DIAZ - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8BB008@istruzione.it;Non Disponibile;VIA CROCEFISSO 15;MILANO;LOMBARDIA;SI;www.icsdiaz.GOV.IT;True;9,1858051;45,45703169999999;SCUOLA PRIMARIA;471;MILANO
MIEE8FW036;201617;NORD OVEST;20142.0;F205;MIIC8FW002;I.C. VIA ARCADIA - MILANO;VIA FERABOLI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8FW002@istruzione.it;Non Disponibile;VIA FERABOLI 44;MILANO;LOMBARDIA;SI;www.arcadia.gov.it;True;9,1702719;45,4146888;SCUOLA PRIMARIA;288;MILANO
MIEE8CR04B;201617;NORD OVEST;20161.0;F205;MIIC8CR006;IC SORELLE AGAZZI/ MILANO;VIA GABBRO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CR006@istruzione.it;Non Disponibile;VIA GABBRO 6;MILANO;LOMBARDIA;SI;WWW.ICSSORELLEAGAZZI.GOV.IT;True;9,1605159;45,5153296;SCUOLA PRIMARIA;214;MILANO
MIMM8AG01T;201617;NORD OVEST;20157.0;F205;MIIC8AG00R;IC VIA VAL LAGARINA /MILANO;VICO;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8AG00R@istruzione.it;Non Disponibile;VIA ORSINI FELICE 25;MILANO;LOMBARDIA;SI;www.icsviavallagarina.cov.it;True;9,1328774;45,5180797;SCUOLA SECONDARIA I GRADO;384;MILANO
MIMM824011;201617;NORD OVEST;20154.0;F205;MIIC82400X;IC G.GIUSTI E C.D'ASSISI/MILANO;PANZINI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC82400X@istruzione.it;Non Disponibile;VIA GIUSTI 15/A;MILANO;LOMBARDIA;SI;WWW.ICGIUSTI.IT;True;9,176897199999999;45,480106;SCUOLA SECONDARIA I GRADO;357;MILANO
MIEE8AG02X;201617;NORD OVEST;20157.0;F205;MIIC8AG00R;IC VIA VAL LAGARINA /MILANO;GHERARDINI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8AG00R@istruzione.it;Non Disponibile;VIA CITTADINI 9;MILANO;LOMBARDIA;SI;www.icsviavallagarina.gov.it;True;9,1293898;45,5141234;SCUOLA PRIMARIA;231;MILANO
MIEE8C301R;201617;NORD OVEST;20151.0;F205;MIIC8C300P;IC RICCARDO MASSA/MILANO;VIA BROCCHI - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8C300P@istruzione.it;Non Disponibile;VIA BROCCHI VIRGILIO5;MILANO;LOMBARDIA;SI;www.icriccardomassa.gov.it;True;9,11969;45,49306;SCUOLA PRIMARIA;455;MILANO
MIEE824023;201617;NORD OVEST;20121.0;F205;MIIC82400X;IC G.GIUSTI E C.D'ASSISI/MILANO;CICERI VISCONTI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC82400X@istruzione.it;Non Disponibile;VIA PALERMO 79;MILANO;LOMBARDIA;SI;www.icgiusti.it;True;9,1837949;45,4754029;SCUOLA PRIMARIA;369;MILANO
MIEE823016;201617;NORD OVEST;20139.0;F205;MIIC823004;I.C. MARCELLO CANDIA;I.C. MARCELLO CANDIA;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC823004@istruzione.it;Non Disponibile;VIA POLESINE 12/14;MILANO;LOMBARDIA;SI;www.iclorenzinifeltre.it;True;9,22275;45,43934;SCUOLA PRIMARIA;338;MILANO
MIEE8C402N;201617;NORD OVEST;20148.0;F205;MIIC8C400E;IC L.CADORNA/MILANO;L.CADORNA - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8C400E@istruzione.it;Non Disponibile;VIA DOLCI 5;MILANO;LOMBARDIA;SI;www.istitutocadorna.it;True;9,143046;45,4719907;SCUOLA PRIMARIA;449;MILANO
MIEE8CD02N;201617;NORD OVEST;20136.0;F205;MIIC8CD00E;IC P.THOUAR E L.GONZAGA/MILANO;PIOLTI DE BIANCHI GASPARA;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CD00E@istruzione.it;Non Disponibile;VIA GENTILINO 14;MILANO;LOMBARDIA;SI;www.thouar-gonzaga.it;True;9,1824465;45,4490656;SCUOLA PRIMARIA;230;MILANO
MIEE8C401L;201617;NORD OVEST;20148.0;F205;MIIC8C400E;IC L.CADORNA/MILANO;M.L.KING;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8C400E@istruzione.it;Non Disponibile;P.ZZA SANTA MARIA NASCENTE30;MILANO;LOMBARDIA;SI;www.istitutocadorna.it;True;9,1352611;45,4866129;SCUOLA PRIMARIA;268;MILANO
MIMM8DV012;201617;NORD OVEST;20125.0;F205;MIIC8DV001;IC FRANCESCHI/MILANO;FRANCESCHI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8DV001@istruzione.it;Non Disponibile;VIA CAGLIERO 20;MILANO;LOMBARDIA;SI;www.icrobertofranceschi.it;True;9,2015454;45,4967566;SCUOLA SECONDARIA I GRADO;501;MILANO
MIEE8CD01L;201617;NORD OVEST;20136.0;F205;MIIC8CD00E;IC P.THOUAR E L.GONZAGA/MILANO;P.THOUAR E L.GONZAGA - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CD00E@istruzione.it;Non Disponibile;VIA BRUNACCI 2/4;MILANO;LOMBARDIA;SI;www.thouar-gonzaga.it;True;9,177326400000002;45,44470820000001;SCUOLA PRIMARIA;330;MILANO
MIMM8C401G;201617;NORD OVEST;20148.0;F205;MIIC8C400E;IC L.CADORNA/MILANO;RICCI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8C400E@istruzione.it;Non Disponibile;VIA LOVERE 4;MILANO;LOMBARDIA;SI;www.istitutocadorna.it;True;9,138484599999998;45,4847066;SCUOLA SECONDARIA I GRADO;325;MILANO
MIEE8CD03P;201617;NORD OVEST;20144.0;F205;MIIC8CD00E;IC P.THOUAR E L.GONZAGA/MILANO;F.CONFORTI E B.AVOGADRO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CD00E@istruzione.it;Non Disponibile;VIA VIGEVANO 19;MILANO;LOMBARDIA;SI;www.thouar-gonzaga.it;True;9,1735992;45,4525817;SCUOLA PRIMARIA;337;MILANO
MIEE8DU017;201617;NORD OVEST;20139.0;F205;MIIC8DU005;IC R.PEZZANI/MILANO;R.PEZZANI - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DU005@istruzione.it;Non Disponibile;VIA MARTINENGO36;MILANO;LOMBARDIA;SI;www.icpezzani.it;True;9,2279363;45,4429704;SCUOLA PRIMARIA;418;MILANO
MIMM8BB019;201617;NORD OVEST;20123.0;F205;MIIC8BB008;IC A. DIAZ/MILANO;"SCUOLA MEDIA ""L.BELTRAMI""";NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8BB008@istruzione.it;Non Disponibile;PIAZZA CARDINAL G.MASSAIA 2 MILANO;MILANO;LOMBARDIA;SI;www.icsdiaz.gov.it;True;9,1812437;45,46158629999999;SCUOLA SECONDARIA I GRADO;551;MILANO
MIMM8DW01T;201617;NORD OVEST;20137.0;F205;MIIC8DW00R;I.C. VIA DE ANDREIS /MILANO;ASCOLI - FRANCESCO D'ASSISI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8DW00R@istruzione.it;Non Disponibile;VIA DE ANDREIS 10;MILANO;LOMBARDIA;SI;www.icdeandreismilano.gov.it;True;9,2358273;45,46161970000001;SCUOLA SECONDARIA I GRADO;608;MILANO
MIEE8D0032;201617;NORD OVEST;20152.0;F205;MIIC8D000T;IC IQBAL MASIH/MILANO;VIA VALDAGNO 8;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8D000T@istruzione.it;Non Disponibile;VIA VALDAGNO 8;MILANO;LOMBARDIA;SI;http//www.icsiqbalmasih.gov.it;True;9,11196;45,46138999999999;SCUOLA PRIMARIA;180;MILANO
MIEE8DW042;201617;NORD OVEST;20138.0;F205;MIIC8DW00R;I.C. VIA DE ANDREIS /MILANO;VIA MELERI - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DW00R@istruzione.it;Non Disponibile;VIA MELERI 14;MILANO;LOMBARDIA;SI;www.icdeandreismilano.gov.it;True;9,2477068;45,4565297;SCUOLA PRIMARIA;252;MILANO
MIEE8CZ01L;201617;NORD OVEST;20147.0;F205;MIIC8CZ00E;IC NARCISI/MILANO;VIA DEI NARCISI - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CZ00E@istruzione.it;Non Disponibile;VIA DEI NARCISI 2;MILANO;LOMBARDIA;SI;www.istitutonarcisi.it;True;9,12878;45,44969;SCUOLA PRIMARIA;297;MILANO
MIEE8DV013;201617;NORD OVEST;20124.0;F205;MIIC8DV001;IC FRANCESCHI/MILANO;MURATORI E MENOTTI PIO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DV001@istruzione.it;Non Disponibile;VIA E.MUZIO 5;MILANO;LOMBARDIA;SI;www.icrobertofranceschi.it;True;9,2003919;45,49077070000001;SCUOLA PRIMARIA;502;MILANO
MIEE8AF024;201617;NORD OVEST;20157.0;F205;MIIC8AF001;IC VIA TRILUSSA / MILANO;VIA A.GRAF;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8AF001@istruzione.it;Non Disponibile;VIA A.GRAF 70;MILANO;LOMBARDIA;SI;www.ictrilussa.milano.scuolaservizi.it;True;9,1455979;45,5128581;SCUOLA PRIMARIA;235;MILANO
MIMM8CZ01G;201617;NORD OVEST;20147.0;F205;MIIC8CZ00E;IC NARCISI/MILANO;VIA ANEMONI 10;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8CZ00E@istruzione.it;Non Disponibile;VIA ANEMONI 10;MILANO;LOMBARDIA;SI;www.istitutonarcisi.it;True;9,1296605;45,4547405;SCUOLA SECONDARIA I GRADO;327;MILANO
MIEE8AF013;201617;NORD OVEST;20157.0;F205;MIIC8AF001;IC VIA TRILUSSA / MILANO;VIA TRILUSSA - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8AF001@istruzione.it;Non Disponibile;VIA TRILUSSA 10;MILANO;LOMBARDIA;SI;www.ictrilussa.milano.scuolaservizi.it;True;9,1387893;45,514499;SCUOLA PRIMARIA;218;MILANO
MIMM8FP01V;201617;NORD OVEST;20158.0;F205;MIIC8FP00T;I.C. VIA MAFFUCCI/MILANO;VIA MAFFUCCI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8FP00T@istruzione.it;Non Disponibile;VIA MAFFUCCI 60;MILANO;LOMBARDIA;SI;MIIC8FP00T@ISTRUZIONE.IT;True;9,170880300000002;45,5021026;SCUOLA SECONDARIA I GRADO;543;MILANO
MIEE8DX01P;201617;NORD OVEST;20137.0;F205;MIIC8DX00L;IC CINQUE GIORNATE/MILANO;CINQUE GIORNATE - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DX00L@istruzione.it;Non Disponibile;VIA MUGELLO 5;MILANO;LOMBARDIA;SI;www.iccinquegiornate.gov.it;True;9,2235827;45,4612524;SCUOLA PRIMARIA;537;MILANO
MIEE8FZ01G;201617;NORD OVEST;20146.0;F205;MIIC8FZ00D;I.C. PIAZZA SICILIA/MILANO;A.S.NOVARO E C.C.FERRUCCI-MILAN;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8FZ00D@istruzione.it;Non Disponibile;PIAZZA SICILIA 2;MILANO;LOMBARDIA;SI;WWW.ICSPIAZZASICILIA.GOV.IT;True;9,1531188;45,4648387;SCUOLA PRIMARIA;854;MILANO
MIMM8FZ01E;201617;NORD OVEST;20149.0;F205;MIIC8FZ00D;I.C. PIAZZA SICILIA/MILANO;MONTEVERDI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8FZ00D@istruzione.it;Non Disponibile;VIA V. COLONNA 42;MILANO;LOMBARDIA;SI;www.icspiazzasicilia.gov.it;True;9,1500014;45,4682911;SCUOLA SECONDARIA I GRADO;519;MILANO
MIEE8D301B;201617;NORD OVEST;20133.0;F205;MIIC8D3009;I.C. A. SCARPA MILANO;A.SCARPA - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8D3009@istruzione.it;Non Disponibile;VIA CLERICETTI 22;MILANO;LOMBARDIA;SI;www.icscarpa.gov.it;True;9,2356939;45,4779175;SCUOLA PRIMARIA;296;MILANO
MIMM8AF012;201617;NORD OVEST;20157.0;F205;MIIC8AF001;IC VIA TRILUSSA / MILANO;VIA GRAF;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8AF001@istruzione.it;Non Disponibile;VIA GRAF 74;MILANO;LOMBARDIA;SI;www.ictrilussa.milano.scuolaservizi.it;True;9,1458392;45,5122228;SCUOLA SECONDARIA I GRADO;181;MILANO
MIEE8D0021;201617;NORD OVEST;20152.0;F205;MIIC8D000T;IC IQBAL MASIH/MILANO;VIA FORZE ARMATE 279;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8D000T@istruzione.it;Non Disponibile;VIA FORZE ARMATE 279;MILANO;LOMBARDIA;SI;http//www.icsiqbalmasih.gov.it;True;9,1035239;45,4593303;SCUOLA PRIMARIA;286;MILANO
MIMM8CF017;201617;NORD OVEST;20161.0;F205;MIIC8CF006;IC C. CANTU'/MILANO;SABA;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8CF006@istruzione.it;Non Disponibile;VIA DEL VOLGA 3;MILANO;LOMBARDIA;SI;www.icscantu.gov.it;True;9,172557;45,5256112;SCUOLA SECONDARIA I GRADO;342;MILANO
MIMM8D301A;201617;NORD OVEST;20133.0;F205;MIIC8D3009;I.C. A. SCARPA MILANO;B. CAIROLI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8D3009@istruzione.it;Non Disponibile;VIA PASCAL 35;MILANO;LOMBARDIA;SI;www.icscarpa.gov.it;True;9,2348095;45,4786952;SCUOLA SECONDARIA I GRADO;389;MILANO
MIEE8BD012;201617;NORD OVEST;20121.0;F205;MIIC8BD00X;MILANO SPIGA ROSSARICASTIGLIONI;ICS MILANO SPIGA SPIGA;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8BD00X@istruzione.it;Non Disponibile;VIA DELLA SPIGA 29;MILANO;LOMBARDIA;SI;http//www.icsmilanospiga.gov.it/;True;9,195582;45,4712105;SCUOLA PRIMARIA;138;MILANO
MIEE8DD028;201617;NORD OVEST;20127.0;F205;MIIC8DD005;I.C. VIA GIACOSA 46/MILANO;VIA RUSSO - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DD005@istruzione.it;Non Disponibile;VIA RUSSO 27;MILANO;LOMBARDIA;SI;WWW.casadelsoleonline.it;True;9,2282353;45,49785079999999;SCUOLA PRIMARIA;395;MILANO
MIEE8DD017;201617;NORD OVEST;20127.0;F205;MIIC8DD005;I.C. VIA GIACOSA 46/MILANO;VIA GIACOSA - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DD005@istruzione.it;Non Disponibile;VIA GIACOSA 46;MILANO;LOMBARDIA;SI;WWW.casadelsoleonline.it;True;9,2217475;45,4948693;SCUOLA PRIMARIA;567;MILANO
MIMM8B601L;201617;NORD OVEST;20131.0;F205;MIIC8B600G;IC A.STOPPANI/MILANO;S. CATERINA DA SIENA;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8B600G@istruzione.it;Non Disponibile;VIA MONTEVERDI 6;MILANO;LOMBARDIA;SI;www.icstoppani.it;True;9,2151814;45,4817827;SCUOLA SECONDARIA I GRADO;311;MILANO
MIEE8FT01L;201617;NORD OVEST;20133.0;F205;MIIC8FT00E;I.C. P.ZA L.DA VINCI/MILANO;P.ZA LEONARDO DA VINCI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8FT00E@istruzione.it;Non Disponibile;PIAZZA LEONARDO DA VINCI 2;MILANO;LOMBARDIA;SI;www.icpiazzaleonardodavinci.gov.it;True;9,226036;45,4778449;SCUOLA PRIMARIA;854;MILANO
