CODICEIDENTIFICATIVOFARMACIA;CODFARMACIAASSEGNATODAASL;INDIRIZZO;DESCRIZIONEFARMACIA;PARTITAIVA;CAP;CODICECOMUNEISTAT;DESCRIZIONECOMUNE;FRAZIONE;CODICEPROVINCIAISTAT;SIGLAPROVINCIA;DESCRIZIONEPROVINCIA;CODICEREGIONE;DESCRIZIONEREGIONE;DATAINIZIOVALIDITA;DATAFINEVALIDITA;DESCRIZIONETIPOLOGIA;CODICETIPOLOGIA;orig_lat;orig_long;LOCALIZE;indirizzo_query;arcGIS_response;Long;Lat;nome_citta
2619;0;Corso Vercelli, 5;COOP.FARM.VERCELLI;774640155;20144;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2005;-;Ordinaria;1;45.4667259825;9.1571565239;1;Corso Vercelli, 5, 20144, MILANO;Corso Vercelli 5, 20144, Milano;9,163957101996663;45,4661895545329;MILANO
2620;0;Via Plinio, 1 ( ang.Piazza Lima);COOP.FARM.LIMA;774640155;20129;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/03/2013;-;Ordinaria;1;45.466621200000006;9.1906166;1;Via Plinio, 1 ( ang.Piazza Lima), 20129, MILANO;Via Plinio 1, 20129, Milano;9,211302979052402;45,479932543164594;MILANO
2621;0;Piazza Baiamonti, 1;COOP.FARM.BAIAMONTI;774640155;20154;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2005;-;Ordinaria;1;45.466621200000006;9.1906166;1;Piazza Baiamonti, 1, 20154, MILANO;Piazzale Antonio Baiamonti 1, 20154, Milano;9,181409527468468;45,48209693366611;MILANO
2622;0;Corso Colombo, 1;COOP.FARM.COLOMBO;774640155;20144;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2005;-;Ordinaria;1;45.4550192037;9.172272747400001;1;Corso Colombo, 1, 20144, MILANO;Corso Cristoforo Colombo 1, 20144, Milano;9,172634306278454;45,45520153926946;MILANO
2623;0;Via Lamarmora, 2;COOP.FARM.LAMARMORA;774640155;20122;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2005;-;Ordinaria;1;45.5168907927;9.454931996900001;1;Via Lamarmora, 2, 20122, MILANO;Via La Marmora 2, 20014, Nerviano, Milano;8,996117529863046;45,55299098277466;MILANO
2624;0;Via S. Giovanni sul Muro, 9;BENETTI SAS;8721720962;20121;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/07/2017;-;Ordinaria;1;45.46649510020001;9.1811221988;1;Via S. Giovanni sul Muro, 9, 20121, MILANO;Via San Giovanni sul Muro 9, 20121, Milano;9,1814002492354;45,46669183596862;MILANO
2625;0;Via Stradivari, 1;AMBRECK;1669440180;20131;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2005;-;Ordinaria;1;45.4151192573;9.1069018454;1;Via Stradivari, 1, 20131, MILANO;Via Antonio Stradivari 1, 20131, Milano;9,21569142215357;45,4843358273703;MILANO
2626;0;Via Larga, 6;DEL DUOMO DEI DOTTORI RAFFAELE BALSAMO E IRENE BONADUCE & C. SAS;8052330969;20122;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/07/2017;-;Ordinaria;1;45.46107805;9.1914934;1;Via Larga, 6, 20122, MILANO;Via Larga 6, 20122, Milano;9,193426245484499;45,462339911189325;MILANO
2627;0;Piazza Vesuvio, 14;VESUVIO DR. BONANDRINI ACHILLE;13056950150;20144;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2005;-;Ordinaria;1;45.459565216;9.1595574693;1;Piazza Vesuvio, 14, 20144, MILANO;Piazza Vesuvio 14, 20144, Milano;9,160132568959623;45,459065368024724;MILANO
2628;0;Via Leone Tolstoj, 17;TOLSTOJ DI DR. HASSAN SANDRO;9287610969;20146;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/07/2017;-;Ordinaria;1;45.457290380399996;9.1474959609;1;Via Leone Tolstoj, 17, 20146, MILANO;Via Leone Tolstoi 17, 20146, Milano;9,151028807230748;45,451032915344236;MILANO
2629;0;Via S. Vittore, 12;DEI PADRI FATEBENEFRATELLI SRL;4638170961;20123;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2005;-;Ordinaria;1;45.4658022833;8.922134200599999;1;Via S. Vittore, 12, 20123, MILANO;Via San Vittore 12, 20123, Milano;9,171795090484144;45,46295194255292;MILANO
2630;0;Via Sardegna, 31;SARDEGNA S.N.C. -DR. DAVIDE MAZZOLI &C.;5345570963;20146;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2008;-;Ordinaria;1;45.46364131479999;9.1525848092;1;Via Sardegna, 31, 20146, MILANO;Via Sardegna 31, 20146, Milano;9,152391759939873;45,46345164778698;MILANO
2631;0;Via Plinio, 11;PLINIO;5504470963;20129;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/04/2007;-;Ordinaria;1;45.6004880351;8.9057224463;1;Via Plinio, 11, 20129, MILANO;Via Plinio 11, 20129, Milano;9,212542139477113;45,4792204848808;MILANO
2632;0;Via Monte Palombino, 9;PENNAGLIA;6731690159;20138;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2005;-;Ordinaria;1;45.4320230075;9.2442141625;1;Via Monte Palombino, 9, 20138, MILANO;Via Monte Palombino 9, 20138, Milano;9,244166930607703;45,43202857146979;MILANO
2633;0;Via Lagrange, 2;DEL GENTILINO DR.SSA PERRICONE MARIA AGATA & C. SAS;6819600963;20136;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/10/2015;-;Ordinaria;1;45.466621200000006;9.1906166;1;Via Lagrange, 2, 20136, MILANO;Via Giuseppe Luigi Lagrange 2, 20136, Milano;9,179150338190313;45,448860478215686;MILANO
2634;0;Via Mazzini, 12;CARLO ALBERTO DEL DR. RAITERO MARCO SERGIO;6660150969;20123;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/09/2009;-;Ordinaria;1;45.3965154211;8.9786912207;1;Via Mazzini, 12, 20123, MILANO;Via Giuseppe Mazzini 12, 20123, Milano;9,188498892578991;45,46242150874258;MILANO
2635;0;Via Monte Rosa, 27;Farmacia Giulio Cesare S.n.c. Dei Dr. Roberto, Gabriele E Francesca Marzani;10107480963;20149;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/02/2018;-;Ordinaria;1;45.501025527799996;8.8516338614;1;Via Monte Rosa, 27, 20149, MILANO;Via Monte Rosa 27, 20149, Milano;9,151816627099194;45,47304630806747;MILANO
2636;0;Corso S. Gottardo, 1;TICINESE;1660590157;20136;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2005;-;Ordinaria;1;45.449266565900004;9.1797990807;1;Corso S. Gottardo, 1, 20136, MILANO;Corso San Gottardo 1, 20136, Milano;9,18012685304973;45,4518404424087;MILANO
2637;0;Via Bellotti, 1;PIAVE;3955010156;20129;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2005;-;Ordinaria;1;45.5051409047;8.8190007404;1;Via Bellotti, 1, 20129, MILANO;Via Felice Bellotti 1, 20129, Milano;9,206999916180962;45,470764529286136;MILANO
2638;0;Via Novara, 90;NOVARA SAS DR MONTI TRISCHITTA PAOLO & C.;8267990961;20153;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/07/2017;-;Ordinaria;1;45.4883436513;9.0695265825;1;Via Novara, 90, 20153, MILANO;Via Novara 90, 20153, Milano;9,119406659592515;45,47273403902632;MILANO
2639;0;Via Degli Imbriani, 35;Farmacia Imbriani S.a.s.;5937180965;20158;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/03/2018;-;Ordinaria;1;45.466621200000006;9.1906166;1;Via Degli Imbriani, 35, 20158, MILANO;Via degli Imbriani 35, 20158, Milano;9,168259972098856;45,49992376519132;MILANO
2640;0;Via R. di Lauria, 22;FIRENZE;3844730154;20149;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2005;-;Ordinaria;1;45.466621200000006;9.1906166;1;Via R. di Lauria, 22, 20149, MILANO;Via Ruggero di Lauria 22, 20149, Milano;9,156325676813328;45,486871826533566;MILANO
2641;0;Via V. Pisani, 26;PISANI 26;7219710154;20124;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/03/2013;-;Ordinaria;1;45.4837342;9.204207400000001;1;Via V. Pisani, 26, 20124, MILANO;Via Vittor Pisani 26, 20124, Milano;9,202264595620038;45,483469040798674;MILANO
2642;0;Corso Buenos Ayres, 55;MARINONI SNC DEL DR. P. BRUNO & C. SNC;5469080963;20124;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/07/2007;-;Ordinaria;1;45.466621200000006;9.1906166;1;Corso Buenos Ayres, 55, 20124, MILANO;Corso Buenos Aires 55, 20124, Milano;9,212576150556943;45,482065113797645;MILANO
2643;0;Via Nicola Piccinni, 1/3;MAZZOLENI SNC;1032660159;20131;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/10/2015;-;Ordinaria;1;45.4825605649;9.2152715173;1;Via Nicola Piccinni, 1/3, 20131, MILANO;Via Nicola Piccinni 1, 20131, Milano;9,214744511810073;45,48294960549876;MILANO
2644;0;Via Washington, 98;MATTALIA;850330150;20146;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2005;-;Ordinaria;1;45.466621200000006;9.1906166;1;Via Washington, 98, 20146, MILANO;Via Giorgio Washington 98, 20146, Milano;9,154556534700301;45,455689241099606;MILANO
2645;0;Via Pier Della Francesca, 3;FARINATTI SNC DR.SSA SILVIA FARINATTI & C.;842370157;20154;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2008;-;Ordinaria;1;45.56349225;9.20398755;1;Via Pier Della Francesca, 3, 20154, MILANO;Via Pier della Francesca 3, 20014, Nerviano, Milano;8,98018152331352;45,55296338412487;MILANO
2646;0;Viale Monte Nero, 59;MONTE NERO - DR. CRESPI;3955000157;20135;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/07/2017;-;Ordinaria;1;45.468620038900006;8.9156959865;1;Viale Monte Nero, 59, 20135, MILANO;Viale Monte Nero 59, 20135, Milano;9,206734259362957;45,4594230313636;MILANO
2647;0;Via Crema, 17;MINERVA SNC DR. SERGENT MARCEAU LUDOVICO & C.;8923090966;20135;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/07/2017;-;Ordinaria;1;45.4510276786;9.2024316521;1;Via Crema, 17, 20135, MILANO;Via Crema 17, 20135, Milano;9,202755472531527;45,44897684984707;MILANO
2648;0;Via Novara, 3;MELOZZO DA FORLI';842410151;20147;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2005;-;Ordinaria;1;45.4883436513;9.0695265825;1;Via Novara, 3, 20147, MILANO;Via Novara 3, 20147, Milano;9,129181746321198;45,46796782431185;MILANO
2649;0;Via Carducci, 11;SCHIAVIO SNC;5271460965;20123;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/04/2007;-;Ordinaria;1;45.5747829862;9.0736017212;1;Via Carducci, 11, 20123, MILANO;Via Natale Canducci 11, 20099, Sesto San Giovanni, Milano;9,256147475849767;45,544466210658435;MILANO
2650;0;Via Strigelli, 2;FIORE SNC;7561670964;20135;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/07/2017;-;Ordinaria;1;45.466621200000006;9.1906166;1;Via Strigelli, 2, 20135, MILANO;Via Gaetano Strigelli 2, 20135, Milano;9,217357669167278;45,455898510675794;MILANO
2651;0;Viale Montenero, 37;PALAZZOLO DEL DR. DANIELE OTTAVIO;9127160969;20135;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/07/2017;-;Ordinaria;1;44.2644813345;12.349446646099999;1;Viale Montenero, 37, 20135, MILANO;Viale Monte Nero 37, 20135, Milano;9,2061412587249;45,45876665402621;MILANO
2652;0;Viale Affori, 10;PICCHIOTTI;427210158;20161;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2005;-;Ordinaria;1;45.5168606;9.16787935;1;Viale Affori, 10, 20161, MILANO;Viale Affori 10, 20161, Milano;9,170685775463117;45,51707747100234;MILANO
2653;0;Piazzale Gabrio Piola, 1;CALO' DEL DR CALO' DANTE;9726360960;20131;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/07/2017;-;Ordinaria;1;45.466621200000006;9.1906166;1;Piazzale Gabrio Piola, 1, 20131, MILANO;Piazzale Gabrio Piola 1, 20131, Milano;9,223272985833091;45,4798580194184;MILANO
2654;0;Via Visconti Di Modrone, 1;PONTE VITTORIA SNC DR.SSA LOJERCIO ORIETTA & C.;4900610967;20122;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/08/2007;-;Ordinaria;1;45.573421342299994;8.916223247000001;1;Via Visconti Di Modrone, 1, 20122, MILANO;Via Uberto Visconti di Modrone 1, 20122, Milano;9,198867447400355;45,46335698473656;MILANO
2655;0;Via Alamanni, 2;ROCCHI;7646670963;20141;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/07/2017;-;Ordinaria;1;45.4336890712;9.1994920089;1;Via Alamanni, 2, 20141, MILANO;Via Luigi Alamanni 2, 20141, Milano;9,200740159587983;45,434263117404356;MILANO
2656;0;Piazzale Gorini, 14;ROSSETTO S.N.C. DR.SSA FRANCONE CRISTIANA & C.;1186290159;20133;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2005;-;Ordinaria;1;45.466621200000006;9.1906166;1;Piazzale Gorini, 14, 20133, MILANO;Piazzale Paolo Gorini 14, 20133, Milano;9,230446607421015;45,473699315569284;MILANO
2657;0;Via S. Marco, 18;SALVI;2849140153;20121;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2005;-;Ordinaria;1;45.57067655;8.93376905;1;Via S. Marco, 18, 20121, MILANO;Via San Marco 18, 20121, Milano;9,188404474753243;45,47514560199668;MILANO
2658;0;Corso Garibaldi, 49;SANITAS;1567000151;20121;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2005;-;Ordinaria;1;45.466601316;8.920250173200001;1;Corso Garibaldi, 49, 20121, MILANO;Corso Giuseppe Garibaldi 49, 20121, Milano;9,183490157324083;45,473779428873456;MILANO
2659;0;Corso P.ta Ticinese, 50;DELLA CITTADELLA;2939320152;20123;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2005;-;Ordinaria;1;45.4654542;9.186516000000001;1;Corso P.ta Ticinese, 50, 20123, MILANO;Corso di Porta Ticinese 50, 20123, Milano;9,180789967799669;45,45662964723874;MILANO
2660;0;Via S. Vincenzo, 1;SANT'AGOSTINO;8972030962;20123;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/07/2017;-;Ordinaria;1;45.458539809399994;9.1748476769;1;Via S. Vincenzo, 1, 20123, MILANO;Via San Vincenzo 1, 20123, Milano;9,177172517485133;45,45879958006811;MILANO
2661;0;Corso Magenta, 96;S. TERESA;406140152;20123;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2005;-;Ordinaria;1;45.465865576700004;9.1753143263;1;Corso Magenta, 96, 20123, MILANO;Corso Magenta 96, 20123, Milano;9,166302094090833;45,46602339439666;MILANO
2662;0;Viale Romagna, 25;SOZZI SNC;7207710968;20133;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/03/2011;-;Ordinaria;1;44.3011740239;12.343578725699999;1;Viale Romagna, 25, 20133, MILANO;Viale Romagna 25, 20129, Milano;9,223470319868463;45,47238135498298;MILANO
2663;0;Corso Buenos Aires, 39;BALDINI SNC;6161300964;20124;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/03/2013;-;Ordinaria;1;45.4847156;9.21526455;1;Corso Buenos Aires, 39, 20124, MILANO;Corso Buenos Aires 39, 20124, Milano;9,210443470425401;45,479858500144225;MILANO
2664;0;Via Varsavia, 4;DEL MERCATO;875580151;20137;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2005;-;Ordinaria;1;45.466621200000006;9.1906166;1;Via Varsavia, 4, 20137, MILANO;Via Varsavia 4, 20137, Milano;9,229077838190337;45,45267249708581;MILANO
2665;0;Via Padova (ang. Celentano, 1);GLORIA SAS - FARMACIA FASOLIS;4582870962;20132;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/04/2015;-;Ordinaria;1;45.466621200000006;9.1906166;1;Via Padova (ang. Celentano, 1), 20132, MILANO;Via Padova, 20132, Milano;9,244683335177523;45,50725937638314;MILANO
2666;0;Corso 22 Marzo, 52/7;ANTICA FARMACIA DEL VERZIERE DI ROSANNA VIGANO' & C. SNC;9566000965;20137;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/07/2017;-;Ordinaria;1;45.462277173800004;9.212530576599999;1;Corso 22 Marzo, 52/7, 20137, MILANO;Corso 22 Marzo 52, 20137, Milano;9,22303691090086;45,46209951067581;MILANO
2667;0;Via Settembrini, 39;SCARLATTI S.N.C.-DR.SSA CARENZI MAURIZIA & C.;4997830155;20124;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2005;-;Ordinaria;1;45.466621200000006;9.1906166;1;Via Settembrini, 39, 20124, MILANO;Via Luigi Settembrini 39, 20124, Milano;9,208124319724243;45,48382889370418;MILANO
2668;0;Via Emilio De Marchi, 10;DESENZANI SNC DR. DESENZANI GIANFRANCO & C.;2324680962;20125;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/07/2007;-;Ordinaria;1;45.5636206172;9.1660131554;1;Via Emilio De Marchi, 10, 20125, MILANO;Via Emilio De Marchi 10, 20125, Milano;9,209085600063425;45,50036578129151;MILANO
2669;0;Via Ornato, 13/A;ORNATO;6075690153;20162;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2005;-;Ordinaria;1;45.466621200000006;9.1906166;1;Via Ornato, 13/A, 20162, MILANO;Via Luigi Ornato 13A, 20162, Milano;9,19105928711989;45,51582474271453;MILANO
2670;0;Via Pola, 19;S. GIOVANNI SNC DR.SSA COSTA ANTONELLA & C.;5273210962;20124;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/04/2007;-;Ordinaria;1;45.5611825;9.15740415;1;Via Pola, 19, 20124, MILANO;Via Pola 19, 20124, Milano;9,192710132523542;45,489133174014704;MILANO
2671;0;Via Rombon, 29;ROMBON;4113380150;20134;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2005;-;Ordinaria;1;45.486331306400004;9.2407520803;1;Via Rombon, 29, 20134, MILANO;Via Rombon 29, 20134, Milano;9,240896540798676;45,486385292255754;MILANO
2672;0;Viale Suzzani, 273;BICOCCA SNC;5381100964;20162;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/04/2007;-;Ordinaria;1;45.466621200000006;9.1906166;1;Viale Suzzani, 273, 20162, MILANO;Viale Giovanni Suzzani 273, 20162, Milano;9,208646047175323;45,52577676242137;MILANO
